id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#111-11,gpt,,,,,,,,,7.97,0,4459,63,4522
#111-11,deepseek,,,,,,,,,3.28,0,4080,161,4241
#111-11,final_consensus,,,,,,,,,11.25,0,8539,224,8763
#111-12,gpt,CD4+/CD8+,,1.39,0.67,35,1.13,0.26,30,2.36,0,4231,117,4348
#111-12,deepseek,CD4+/CD8+,,1.39,0.67,35,1.13,0.26,30,2.67,0,3901,170,4071
#111-12,final_consensus,CD4+/CD8+,,1.39,0.67,35,1.13,0.26,30,5.029999999999999,0,8132,287,8419
#111-13,gpt,,,,,,,,,2.24,0,3659,65,3724
#111-13,deepseek,,,,,,,,,2.16,0,3349,98,3447
#111-13,final_consensus,,,,,,,,,4.4,0,7008,163,7171
#111-14,gpt,,,,,,,,,1.79,0,3329,65,3394
#111-14,deepseek,,,,,,,,,2.5,0,2985,125,3110
#111-14,final_consensus,,,,,,,,,4.29,0,6314,190,6504
#111-15,gpt,CD4+/CD8+,,1.71,0.59,50,0.89,0.74,50,2.27,0,4964,124,5088
#111-15,deepseek,CD4+/CD8+,,1.71,0.59,50,0.89,0.74,50,4.02,0,4634,218,4852
#111-15,final_consensus,CD4+/CD8+,,1.71,0.59,50,0.89,0.74,50,6.289999999999999,0,9598,342,9940
#111-16,gpt,,,,,,,,,1.88,0,3544,58,3602
#111-16,deepseek,,,,,,,,,2.08,0,3208,103,3311
#111-16,final_consensus,,,,,,,,,3.96,0,6752,161,6913
#111-17,gpt,CD4+/CD8+,,1.89,0.05,21,1.08,0.02,22,2.5,0,4419,108,4527
#111-17,deepseek,CD4+/CD8+,,1.89,0.05,21,1.08,0.02,22,2.74,0,4004,172,4176
#111-17,final_consensus,CD4+/CD8+,,1.89,0.05,21,1.08,0.02,22,5.24,0,8423,280,8703
