id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#111-11,gpt,,,,,,,6.4,0,4379,203,4582
#111-11,deepseek,,,,,,,6.6,0,3959,330,4289
#111-11,final_consensus,,,,,,,13.0,0,8338,533,8871
#111-12,gpt,白细胞下降,,23,35,25,30,3.63,0,4151,114,4265
#111-12,deepseek,白细胞减少,,23,35,25,30,6.07,0,3780,334,4114
#111-12,final_consensus,白细胞下降,,23,35,25,30,9.7,0,7931,448,8379
#111-13,gpt,leukopenia,,8,35,23,35,3.85,0,3579,106,3685
#111-13,deepseek,白细胞减少,,8,35,23,35,4.59,0,3228,294,3522
#111-13,final_consensus,leukopenia,,8,35,23,35,8.44,0,6807,400,7207
#111-14,gpt,白细胞下降,,16,35,26,35,3.03,0,3249,129,3378
#111-14,deepseek,白细胞减少,,16,35,26,35,6.12,0,2864,273,3137
#111-14,final_consensus,白细胞下降,,16,35,26,35,9.15,0,6113,402,6515
#111-15,gpt,Leukopenia,,12,50,27,50,4.0,0,4884,116,5000
#111-15,deepseek,白细胞减少,,12,50,27,50,3.67,0,4513,139,4652
#111-15,final_consensus,Leukopenia,,12,50,27,50,7.67,0,9397,255,9652
#111-16,gpt,白细胞下降,,8,30,11,30,4.39,0,3464,129,3593
#111-16,deepseek,白细胞减少,,8,30,11,30,5.26,0,3087,304,3391
#111-16,final_consensus,白细胞下降,,8,30,11,30,9.649999999999999,0,6551,433,6984
#111-17,gpt,,,,,,,4.8,0,4339,175,4514
#111-17,deepseek,,,,,,,8.81,0,3883,544,4427
#111-17,final_consensus,,,,,,,13.61,0,8222,719,8941
