id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#13-10,gpt,CD8+ level,,,,,,,,8.84,0,4455,103,4558
#13-10,deepseek,,,,,,,,,3.45,0,3897,188,4085
#13-10,final_consensus,CD8+ level,,,,,,,,12.29,0,8352,291,8643
#13-11,gpt,CD8+ level,,,,,,,,2.52,0,2206,82,2288
#13-11,deepseek,CD8+ level,,,,,,,,8.0,0,1941,380,2321
#13-11,final_consensus,CD8+ level,,,,,,,,10.52,0,4147,462,4609
#13-12,gpt,CD8+ level,,,,,,,,9.67,0,3837,113,3950
#13-12,deepseek,,,,,,,,,6.0,0,3548,350,3898
#13-12,final_consensus,CD8+ level,,,,,,,,15.67,0,7385,463,7848
#13-13,gpt,CD8+ level,,30.84,7.43,30,34.95,9.03,30,8.57,0,3054,116,3170
#13-13,deepseek,CD8+,,30.84,7.43,30,34.95,9.03,30,4.22,0,2748,209,2957
#13-13,final_consensus,CD8+ level,,30.84,7.43,30,34.95,9.03,30,12.79,0,5802,325,6127
#13-14,gpt,CD8+ level,,,,,,,,3.02,0,3375,93,3468
#13-14,deepseek,CD8+ level,,,,,,,,2.28,0,3113,106,3219
#13-14,final_consensus,CD8+ level,,,,,,,,5.3,0,6488,199,6687
#13-15,gpt,CD8+ level (%),,25.46,1.18,45,26.97,1.28,45,2.52,0,3898,130,4028
#13-15,deepseek,CD8+,,25.46,1.18,45,26.97,1.28,45,4.38,0,3596,296,3892
#13-15,final_consensus,CD8+ level (%),,25.46,1.18,45,26.97,1.28,45,6.9,0,7494,426,7920
#13-16,gpt,CD8+ level,,,,,,,,2.15,0,1311,85,1396
#13-16,deepseek,,,,,,,,,2.04,0,1163,102,1265
#13-16,final_consensus,CD8+ level,,,,,,,,4.1899999999999995,0,2474,187,2661
#13-17,gpt,CD8+ level,,,,,,,,2.13,0,3049,87,3136
#13-17,deepseek,,,,,,,,,3.13,0,2761,197,2958
#13-17,final_consensus,CD8+ level,,,,,,,,5.26,0,5810,284,6094
#13-18,gpt,CD8+ level,,,,,,,,2.0,0,2852,96,2948
#13-18,deepseek,,,,,,,,,5.64,0,2563,386,2949
#13-18,final_consensus,CD8+ level,,,,,,,,7.64,0,5415,482,5897
#13-19,gpt,,,,,,,,,10.4,0,3003,280,3283
#13-19,deepseek,,,,,,,,,5.94,0,2704,389,3093
#13-19,final_consensus,,,,,,,,,16.34,0,5707,669,6376
#13-20,gpt,CD8+ level,,,,,,,,7.84,0,5177,70,5247
#13-20,deepseek,,,,,,,,,7.84,0,4397,464,4861
#13-20,final_consensus,CD8+ level,,,,,,,,15.68,0,9574,534,10108
#13-21,gpt,CD8+ level,,,,,,,,8.73,0,3058,81,3139
#13-21,deepseek,,,,,,,,,7.92,0,2698,467,3165
#13-21,final_consensus,CD8+ level,,,,,,,,16.65,0,5756,548,6304
#13-22,gpt,CD8+ level,,,,,,,,8.48,0,6023,85,6108
#13-22,deepseek,,,,,,,,,5.54,0,5693,314,6007
#13-22,final_consensus,CD8+ level,,,,,,,,14.02,0,11716,399,12115
#13-23,gpt,CD8+ level,,,,,,,,8.32,0,2644,102,2746
#13-23,deepseek,CD8+ level,,,,,,,,5.37,0,2411,335,2746
#13-23,final_consensus,CD8+ level,,,,,,,,13.690000000000001,0,5055,437,5492
#13-24,gpt,CD8+ level,,,,,,,,10.0,0,4975,140,5115
#13-24,deepseek,CD8+ level,,,,,,,,6.06,0,4433,363,4796
#13-24,final_consensus,CD8+ level,,,,,,,,16.06,0,9408,503,9911
#13-25,gpt,,,,,,,,,9.1,0,2444,110,2554
#13-25,deepseek,,,,,,,,,4.33,0,2153,219,2372
#13-25,final_consensus,,,,,,,,,13.43,0,4597,329,4926
#13-7,gpt,CD8+ level,,33.21,13.85,34,29.16,6.78,34,2.39,0,3288,116,3404
#13-7,deepseek,CD8+ level,,33.21,13.85,34,29.16,6.78,34,5.09,0,3008,290,3298
#13-7,final_consensus,CD8+ level,,33.21,13.85,34,29.16,6.78,34,7.48,0,6296,406,6702
#13-8,gpt,,,,,,,,,8.7,0,2717,129,2846
#13-8,deepseek,,,,,,,,,5.46,0,2410,315,2725
#13-8,final_consensus,,,,,,,,,14.16,0,5127,444,5571
#13-9,gpt,CD8+ level,,,,,,,,8.83,0,2276,94,2370
#13-9,deepseek,,,,,,,,,3.14,0,2175,159,2334
#13-9,final_consensus,CD8+ level,,,,,,,,11.97,0,4451,253,4704
