id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#13-10,gpt,血小板减少,,3,39,8,41,4.78,0,5057,130,5187
#13-10,deepseek,血小板减少,,3,39,8,41,35.26,0,4394,274,4668
#13-10,final_consensus,血小板减少,,3,39,8,41,40.04,0,9451,404,9855
#13-11,gpt,,,,,,,7.76,0,2808,302,3110
#13-11,deepseek,,,,,,,6.43,0,2438,313,2751
#13-11,final_consensus,,,,,,,14.19,0,5246,615,5861
#13-12,gpt,血小板减少,,2,40,8,40,10.55,0,4439,198,4637
#13-12,deepseek,血小板减少,,2,40,8,40,4.75,0,4045,175,4220
#13-12,final_consensus,血小板减少,,2,40,8,40,15.3,0,8484,373,8857
#13-13,gpt,,,,,,,2.93,0,3656,74,3730
#13-13,deepseek,,,,,,,5.31,0,3245,359,3604
#13-13,final_consensus,,,,,,,8.24,0,6901,433,7334
#13-14,gpt,,,,,,,4.29,0,3977,67,4044
#13-14,deepseek,,,,,,,4.05,0,3610,193,3803
#13-14,final_consensus,,,,,,,8.34,0,7587,260,7847
#13-15,gpt,,,,,,,6.15,0,4500,108,4608
#13-15,deepseek,,,,,,,5.94,0,4093,274,4367
#13-15,final_consensus,,,,,,,12.09,0,8593,382,8975
#13-16,gpt,,,,,,,3.95,0,1913,75,1988
#13-16,deepseek,,,,,,,3.45,0,1660,144,1804
#13-16,final_consensus,,,,,,,7.4,0,3573,219,3792
#13-17,gpt,,,,,,,4.33,0,3651,105,3756
#13-17,deepseek,,,,,,,5.73,0,3258,368,3626
#13-17,final_consensus,,,,,,,10.06,0,6909,473,7382
#13-18,gpt,血小板下降,,22,25,25,25,9.69,0,3454,338,3792
#13-18,deepseek,血小板减少,,22,25,25,25,9.58,0,3060,564,3624
#13-18,final_consensus,血小板下降,,22,25,25,25,19.27,0,6514,902,7416
#13-19,gpt,血小板减少,,2,30,8,30,7.27,0,3605,223,3828
#13-19,deepseek,血小板减少,,2,30,8,30,7.49,0,3201,314,3515
#13-19,final_consensus,血小板减少,,2,30,8,30,14.76,0,6806,537,7343
#13-20,gpt,血小板减少,,27,34,34,34,5.45,0,5779,164,5943
#13-20,deepseek,血小板减少,,27,34,34,34,12.24,0,4894,809,5703
#13-20,final_consensus,血小板减少,,27,34,34,34,17.69,0,10673,973,11646
#13-21,gpt,,,,,,,3.89,0,3660,75,3735
#13-21,deepseek,,,,,,,4.52,0,3195,235,3430
#13-21,final_consensus,,,,,,,8.41,0,6855,310,7165
#13-22,gpt,血小板减少,,19,64,29,63,6.18,0,6625,238,6863
#13-22,deepseek,血小板减少,,19,64,29,63,8.76,0,6190,581,6771
#13-22,final_consensus,血小板减少,,19,64,29,63,14.94,0,12815,819,13634
#13-23,gpt,血小板下降,,27,60,33,60,5.6,0,3246,151,3397
#13-23,deepseek,血小板减少,,27,60,33,60,7.45,0,2908,423,3331
#13-23,final_consensus,血小板下降,,27,60,33,60,13.05,0,6154,574,6728
#13-24,gpt,,,,,,,4.27,0,5577,74,5651
#13-24,deepseek,,,,,,,4.51,0,4930,136,5066
#13-24,final_consensus,,,,,,,8.78,0,10507,210,10717
#13-25,gpt,,,,,,,3.86,0,3046,91,3137
#13-25,deepseek,,,,,,,5.63,0,2650,372,3022
#13-25,final_consensus,,,,,,,9.49,0,5696,463,6159
#13-7,gpt,,,,,,,5.22,0,3890,77,3967
#13-7,deepseek,,,,,,,4.71,0,3505,155,3660
#13-7,final_consensus,,,,,,,9.93,0,7395,232,7627
#13-8,gpt,血小板减少,,2,30,6,32,4.51,0,3319,158,3477
#13-8,deepseek,血小板减少,,2,30,6,32,4.05,0,2907,214,3121
#13-8,final_consensus,血小板减少,,2,30,6,32,8.559999999999999,0,6226,372,6598
#13-9,gpt,血小板减少,,5,25,4,20,3.83,0,2878,129,3007
#13-9,deepseek,血小板减少,,5,25,4,20,3.38,0,2672,202,2874
#13-9,final_consensus,血小板减少,,5,25,4,20,7.21,0,5550,331,5881
