id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#140-10,gpt,thrombocytopenia,,,,,,6.16,0,3324,121,3445
#140-10,deepseek,,,,,,,7.65,0,3053,352,3405
#140-10,final_consensus,thrombocytopenia,,,,,,13.81,0,6377,473,6850
#140-11,gpt,thrombocytopenia,,,,,,5.3,0,2352,161,2513
#140-11,deepseek,,,,,,,6.4,0,2093,235,2328
#140-11,final_consensus,thrombocytopenia,,,,,,11.7,0,4445,396,4841
#140-12,gpt,thrombocytopenia,,,,,,3.68,0,1568,111,1679
#140-12,deepseek,thrombocytopenia,,,,,,13.06,0,1390,733,2123
#140-12,final_consensus,thrombocytopenia,,,,,,16.740000000000002,0,2958,844,3802
#140-13,gpt,,,,,,,6.29,0,2106,199,2305
#140-13,deepseek,,,,,,,6.98,0,1947,302,2249
#140-13,final_consensus,,,,,,,13.27,0,4053,501,4554
#140-14,gpt,No thrombocytopenia (no platelet reduction),,28,30,26,32,8.12,0,2459,215,2674
#140-14,deepseek,thrombocytopenia,,28,30,26,32,6.7,0,2195,281,2476
#140-14,final_consensus,No thrombocytopenia (no platelet reduction),,28,30,26,32,14.82,0,4654,496,5150
#140-15,gpt,No thrombocytopenia (grade 0),,36,39,33,41,5.84,0,2940,137,3077
#140-15,deepseek,thrombocytopenia,,36,39,33,41,9.3,0,2671,479,3150
#140-15,final_consensus,No thrombocytopenia (grade 0),,36,39,33,41,15.14,0,5611,616,6227
#140-16,gpt,No thrombocytopenia (grade 0),,52,144,48,144,5.65,0,4571,150,4721
#140-16,deepseek,thrombocytopenia,,52,144,48,144,8.09,0,4201,286,4487
#140-16,final_consensus,No thrombocytopenia (grade 0),,52,144,48,144,13.74,0,8772,436,9208
#140-17,gpt,thrombocytopenia,,,,,,11.98,0,2112,547,2659
#140-17,deepseek,,,,,,,17.2,0,1848,970,2818
#140-17,final_consensus,thrombocytopenia,,,,,,29.18,0,3960,1517,5477
#140-6,gpt,thrombocytopenia,,,,,,5.22,0,2302,144,2446
#140-6,deepseek,,,,,,,5.45,0,2121,211,2332
#140-6,final_consensus,thrombocytopenia,,,,,,10.67,0,4423,355,4778
#140-7,gpt,No thrombocytopenia (grade 0),,45,64,34,63,9.0,0,5971,276,6247
#140-7,deepseek,thrombocytopenia,,45,64,34,63,7.67,0,5633,368,6001
#140-7,final_consensus,No thrombocytopenia (grade 0),,45,64,34,63,16.67,0,11604,644,12248
#140-8,gpt,thrombocytopenia,,,,,,5.4,0,3229,166,3395
#140-8,deepseek,thrombocytopenia,,,,,,11.49,0,2935,529,3464
#140-8,final_consensus,thrombocytopenia,,,,,,16.89,0,6164,695,6859
#140-9,gpt,,,,,,,5.53,0,3008,196,3204
#140-9,deepseek,thrombocytopenia,,,,,,9.53,0,2639,428,3067
#140-9,final_consensus,,,,,,,15.059999999999999,0,5647,624,6271
