id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#16-10,gpt,2-year survival rate,,16,30,10,30,3.77,0.0,3701,114,3815
#16-10,deepseek,2-year survival rate,,16,30,10,30,4.65,0.0,3353,183,3536
#16-10,final_consensus,2-year survival rate,,16,30,10,30,8.42,0.0,7054,297,7351
#16-11,gpt,2-year survival rate,,,,,,2.79,0.0,1874,127,2001
#16-11,deepseek,2-year survival rate,,,,,,2.99,0.0,1646,85,1731
#16-11,final_consensus,2-year survival rate,,,,,,5.78,0.0,3520,212,3732
#16-12,gpt,2-year survival rate,,,,,,2.49,0.0,2613,91,2704
#16-12,deepseek,,,,,,,3.96,0.0,2341,194,2535
#16-12,final_consensus,2-year survival rate,,,,,,6.45,0.0,4954,285,5239
#16-13,gpt,,,,,,,2.36,0.0,4006,81,4087
#16-13,deepseek,,,,,,,4.69,0.0,3604,238,3842
#16-13,final_consensus,,,,,,,7.050000000000001,0.0,7610,319,7929
#16-14,gpt,2-year survival rate,,,,,,3.14,0.0,4981,131,5112
#16-14,deepseek,,,,,,,7.47,0.0,4275,415,4690
#16-14,final_consensus,2-year survival rate,,,,,,10.61,0.0,9256,546,9802
#16-15,gpt,2-year survival rate,,,,,,3.93,0.0,1400,117,1517
#16-15,deepseek,,,,,,,4.83,0.0,1288,218,1506
#16-15,final_consensus,2-year survival rate,,,,,,8.76,0.0,2688,335,3023
#16-16,gpt,2-year survival rate,,8,28,7,24,15.67,0.0,1519,1050,2569
#16-16,deepseek,2-year survival rate,,,28,,24,59.5,0.0,1441,4051,5492
#16-16,final_human_override,2-year survival rate,,8,28,7,24,75.17,132.52,2960,5101,8061
#16-17,gpt,2-year survival rate,,,,,,5.55,0.0,1683,207,1890
#16-17,deepseek,,,,,,,6.36,0.0,1474,328,1802
#16-17,final_consensus,2-year survival rate,,,,,,11.91,0.0,3157,535,3692
#16-18,gpt,,,,,,,6.18,0.0,10804,249,11053
#16-18,deepseek,2-year survival rate,,,,,,4.01,0.0,9485,83,9568
#16-18,final_consensus,,,,,,,10.19,0.0,20289,332,20621
#16-19,gpt,2-year survival rate,,,,,,3.58,0.0,1900,80,1980
#16-19,deepseek,,,,,,,4.39,0.0,1631,215,1846
#16-19,final_consensus,2-year survival rate,,,,,,7.97,0.0,3531,295,3826
#16-20,gpt,2-year survival rate,,,,,,9.05,0.0,2345,76,2421
#16-20,deepseek,,,,,,,4.92,0.0,1991,186,2177
#16-20,final_consensus,2-year survival rate,,,,,,13.97,0.0,4336,262,4598
#16-21,gpt,2-year survival rate,,4,24,0,24,2.84,0.0,2874,89,2963
#16-21,deepseek,2-year survival,,4,24,0,24,4.77,0.0,2574,288,2862
#16-21,final_consensus,2-year survival rate,,4,24,0,24,7.609999999999999,0.0,5448,377,5825
#16-22,gpt,,,,,,,3.23,0.0,3918,116,4034
#16-22,deepseek,,,,,,,9.69,0.0,3531,426,3957
#16-22,final_consensus,,,,,,,12.92,0.0,7449,542,7991
#16-23,gpt,,,,,,,3.94,0.0,2615,83,2698
#16-23,deepseek,2-year survival rate,,,,,,12.91,0.0,2299,844,3143
#16-23,final_consensus,,,,,,,16.85,0.0,4914,927,5841
#16-8,gpt,2-year survival rate,,,,,,3.11,0.0,1552,91,1643
#16-8,deepseek,,,,,,,5.9,0.0,1344,303,1647
#16-8,final_consensus,2-year survival rate,,,,,,9.01,0.0,2896,394,3290
#16-9,gpt,2-year survival rate,,,,,,3.68,0.0,3103,97,3200
#16-9,deepseek,,,,,,,5.49,0.0,2748,185,2933
#16-9,final_consensus,2-year survival rate,,,,,,9.17,0.0,5851,282,6133
