id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#169-15,gpt,客观缓解率,,15,34,11,35,11.84,0,4476,126,4602
#169-15,deepseek,客观缓解率,,15,34,11,35,5.17,0,4120,261,4381
#169-15,final_consensus,客观缓解率,,15,34,11,35,17.009999999999998,0,8596,387,8983
#169-16,gpt,客观缓解率,,14,40,12,39,5.57,0,11427,137,11564
#169-16,deepseek,客观缓解率,,14,40,12,39,7.79,0,10302,543,10845
#169-16,final_consensus,客观缓解率,,14,40,12,39,13.36,0,21729,680,22409
#169-17,gpt,治疗有效率（RR）,,17,36,13,36,6.03,0,3358,213,3571
#169-17,deepseek,客观缓解率,,17,36,13,36,4.48,0,2947,221,3168
#169-17,final_consensus,治疗有效率（RR）,,17,36,13,36,10.510000000000002,0,6305,434,6739
#169-18,gpt,客观缓解率,,37,53,23,47,3.1,0,5229,126,5355
#169-18,deepseek,客观缓解率,,37,53,23,47,5.01,0,4683,275,4958
#169-18,final_consensus,客观缓解率,,37,53,23,47,8.11,0,9912,401,10313
#169-19,gpt,客观缓解率,,27,55,17,55,3.91,0,3173,151,3324
#169-19,deepseek,客观缓解率,,27,55,17,55,4.83,0,2876,342,3218
#169-19,final_consensus,客观缓解率,,27,55,17,55,8.74,0,6049,493,6542
#169-20,gpt,总有效率（CR+PR）,,34,45,21,45,4.15,0,3300,233,3533
#169-20,deepseek,客观缓解率,,34,45,21,45,3.97,0,3082,246,3328
#169-20,final_consensus,总有效率（CR+PR）,,34,45,21,45,8.120000000000001,0,6382,479,6861
#169-21,gpt,客观缓解率,,16,30,10,30,4.02,0,3876,153,4029
#169-21,deepseek,客观缓解率,,16,30,10,30,4.13,0,3546,313,3859
#169-21,final_consensus,客观缓解率,,16,30,10,30,8.149999999999999,0,7422,466,7888
#169-22,gpt,客观缓解率,,23,60,14,60,4.24,0,4376,215,4591
#169-22,deepseek,客观缓解率,,23,60,14,60,8.98,0,3914,755,4669
#169-22,final_consensus,客观缓解率,,23,60,14,60,13.22,0,8290,970,9260
#169-23,gpt,客观缓解率,,19,43,12,43,3.88,0,4178,128,4306
#169-23,deepseek,客观缓解率,,19,43,12,43,3.65,0,3691,226,3917
#169-23,final_consensus,客观缓解率,,19,43,12,43,7.529999999999999,0,7869,354,8223
#169-24,gpt,客观缓解率,,13,30,8,30,2.77,0,3830,112,3942
#169-24,deepseek,客观缓解率,,13,30,8,30,4.01,0,3385,309,3694
#169-24,final_consensus,客观缓解率,,13,30,8,30,6.779999999999999,0,7215,421,7636
#169-25,gpt,客观缓解率,,8,38,9,40,4.04,0,3742,188,3930
#169-25,deepseek,客观缓解率,,8,38,9,40,4.87,0,3386,275,3661
#169-25,final_consensus,客观缓解率,,8,38,9,40,8.91,0,7128,463,7591
#169-26,gpt,客观缓解率,,15,35,12,35,2.44,0,3486,87,3573
#169-26,deepseek,客观缓解率,,15,35,12,35,3.49,0,3165,241,3406
#169-26,final_consensus,客观缓解率,,15,35,12,35,5.93,0,6651,328,6979
#169-27,gpt,客观缓解率,,17,35,13,30,2.95,0,4054,116,4170
#169-27,deepseek,客观缓解率,,17,35,13,30,5.35,0,3720,342,4062
#169-27,final_consensus,客观缓解率,,17,35,13,30,8.3,0,7774,458,8232
