id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#16-10,gpt,,,,,,,3.66,0,4398,70,4468
#16-10,deepseek,,,,,,,3.8,0,3955,94,4049
#16-10,final_consensus,,,,,,,7.46,0,8353,164,8517
#16-11,gpt,,,,,,,3.39,0,2571,148,2719
#16-11,deepseek,,,,,,,2.96,0,2248,94,2342
#16-11,final_consensus,,,,,,,6.35,0,4819,242,5061
#16-12,gpt,AFP反应率,,15,22,8,18,4.37,0,3310,206,3516
#16-12,deepseek,AFP反应率,,15,22,8,18,7.7,0,2943,525,3468
#16-12,final_consensus,AFP反应率,,15,22,8,18,12.07,0,6253,731,6984
#16-13,gpt,,,,,,,7.22,0,4703,332,5035
#16-13,deepseek,,,,,,,6.49,0,4206,322,4528
#16-13,final_consensus,,,,,,,13.71,0,8909,654,9563
#16-14,gpt,,,,,,,3.69,0,5678,79,5757
#16-14,deepseek,,,,,,,2.96,0,4877,126,5003
#16-14,final_consensus,,,,,,,6.65,0,10555,205,10760
#16-15,gpt,,,,,,,3.79,0,2097,134,2231
#16-15,deepseek,,,,,,,5.0,0,1890,332,2222
#16-15,final_consensus,,,,,,,8.79,0,3987,466,4453
#16-16,gpt,,,,,,,2.89,0,2216,85,2301
#16-16,deepseek,,,,,,,2.17,0,2043,67,2110
#16-16,final_consensus,,,,,,,5.0600000000000005,0,4259,152,4411
#16-17,gpt,,,,,,,1.87,0,2380,67,2447
#16-17,deepseek,,,,,,,2.4,0,2076,119,2195
#16-17,final_consensus,,,,,,,4.27,0,4456,186,4642
#16-18,gpt,AFP反应率,,7,17,4,18,3.82,0,11501,184,11685
#16-18,deepseek,AFP反应率,,7,17,4,18,7.95,0,10087,607,10694
#16-18,final_consensus,AFP反应率,,7,17,4,18,11.77,0,21588,791,22379
#16-19,gpt,,,,,,,2.77,0,2597,64,2661
#16-19,deepseek,,,,,,,2.1,0,2233,75,2308
#16-19,final_consensus,,,,,,,4.87,0,4830,139,4969
#16-20,gpt,,,,,,,1.88,0,3042,77,3119
#16-20,deepseek,,,,,,,2.95,0,2593,125,2718
#16-20,final_consensus,,,,,,,4.83,0,5635,202,5837
#16-21,gpt,,,,,,,3.16,0,3571,133,3704
#16-21,deepseek,,,,,,,6.49,0,3176,406,3582
#16-21,final_consensus,,,,,,,9.65,0,6747,539,7286
#16-22,gpt,,,,,,,4.34,0,4615,114,4729
#16-22,deepseek,,,,,,,4.94,0,4133,310,4443
#16-22,final_consensus,,,,,,,9.280000000000001,0,8748,424,9172
#16-23,gpt,,,,,,,2.01,0,3312,56,3368
#16-23,deepseek,,,,,,,2.55,0,2901,112,3013
#16-23,final_consensus,,,,,,,4.56,0,6213,168,6381
#16-8,gpt,,,,,,,2.14,0,2249,71,2320
#16-8,deepseek,,,,,,,3.07,0,1946,139,2085
#16-8,final_consensus,,,,,,,5.21,0,4195,210,4405
#16-9,gpt,,,,,,,2.08,0,3800,64,3864
#16-9,deepseek,,,,,,,2.81,0,3350,129,3479
#16-9,final_consensus,,,,,,,4.890000000000001,0,7150,193,7343
