id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#16-10,gpt,AFP response rate,,,,,,4.21,0.0,3725,97,3822
#16-10,deepseek,,,,,,,6.63,0.0,3377,464,3841
#16-10,final_consensus,AFP response rate,,,,,,10.84,0.0,7102,561,7663
#16-11,gpt,AFP response rate,,,,,,5.2,0.0,1898,197,2095
#16-11,deepseek,,,,,,,6.71,0.0,1670,406,2076
#16-11,final_consensus,AFP response rate,,,,,,11.91,0.0,3568,603,4171
#16-12,gpt,AFP response rate,,15,22,8,18,5.15,0.0,2637,129,2766
#16-12,deepseek,AFP response rate,,15,22,8,18,6.75,0.0,2365,388,2753
#16-12,final_consensus,AFP response rate,,15,22,8,18,11.9,0.0,5002,517,5519
#16-13,gpt,AFP response rate,,30,49,16,48,5.79,0.0,4030,237,4267
#16-13,deepseek,AFP response rate,,30,49,16,48,10.9,0.0,3628,754,4382
#16-13,final_consensus,AFP response rate,,30,49,16,48,16.69,0.0,7658,991,8649
#16-14,gpt,AFP response rate,,,,,,4.19,0.0,5005,155,5160
#16-14,deepseek,AFP response rate,,,18,,20,10.52,0.0,4299,753,5052
#16-14,final_human_override,AFP response rate,,,,,,14.71,26.67,9304,908,10212
#16-15,gpt,AFP response rate,,,,,,4.54,0.0,1424,198,1622
#16-15,deepseek,,,,,,,10.75,0.0,1312,759,2071
#16-15,final_consensus,AFP response rate,,,,,,15.29,0.0,2736,957,3693
#16-16,gpt,,,,,,,3.36,0.0,1543,98,1641
#16-16,deepseek,,,,,,,4.0,0.0,1465,235,1700
#16-16,final_consensus,,,,,,,7.359999999999999,0.0,3008,333,3341
#16-17,gpt,AFP response rate,,,,,,3.69,0.0,1707,166,1873
#16-17,deepseek,AFP response rate,,,,,,7.06,0.0,1498,477,1975
#16-17,final_consensus,AFP response rate,,,,,,10.75,0.0,3205,643,3848
#16-18,gpt,AFP response rate (CR+PR),,7,17,4,18,4.92,0.0,10828,156,10984
#16-18,deepseek,AFP response rate,,7,17,4,18,7.28,0.0,9509,509,10018
#16-18,final_consensus,AFP response rate (CR+PR),,7,17,4,18,12.2,0.0,20337,665,21002
#16-19,gpt,AFP response rate,,,,,,3.46,0.0,1924,93,2017
#16-19,deepseek,,,,,,,7.12,0.0,1655,428,2083
#16-19,final_consensus,AFP response rate,,,,,,10.58,0.0,3579,521,4100
#16-20,gpt,AFP response rate,,,,,,3.72,0.0,2369,113,2482
#16-20,deepseek,,,,,,,6.03,0.0,2015,405,2420
#16-20,final_consensus,AFP response rate,,,,,,9.75,0.0,4384,518,4902
#16-21,gpt,AFP response rate,,,,,,5.08,0.0,2898,206,3104
#16-21,deepseek,,,,,,,9.39,0.0,2598,515,3113
#16-21,final_consensus,AFP response rate,,,,,,14.47,0.0,5496,721,6217
#16-22,gpt,,,,,,,4.88,0.0,3942,231,4173
#16-22,deepseek,,,,,,,4.03,0.0,3555,213,3768
#16-22,final_consensus,,,,,,,8.91,0.0,7497,444,7941
#16-23,gpt,AFP response rate,,,,,,2.15,0.0,2639,81,2720
#16-23,deepseek,,,,,,,6.76,0.0,2323,392,2715
#16-23,final_consensus,AFP response rate,,,,,,8.91,0.0,4962,473,5435
#16-8,gpt,AFP response rate,,,,,,3.03,0.0,1576,107,1683
#16-8,deepseek,,,,,,,3.84,0.0,1368,201,1569
#16-8,final_consensus,AFP response rate,,,,,,6.869999999999999,0.0,2944,308,3252
#16-9,gpt,AFP response rate,,,,,,2.65,0.0,3127,115,3242
#16-9,deepseek,,,,,,,2.85,0.0,2772,87,2859
#16-9,final_consensus,AFP response rate,,,,,,5.5,0.0,5899,202,6101
