id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#16-10,gpt,疾病控制率,,27,30,21,30,4.96,0.0,4397,173,4570
#16-10,deepseek,疾病控制率,,27,30,21,30,5.82,0.0,3979,373,4352
#16-10,final_consensus,疾病控制率,,27,30,21,30,10.780000000000001,0.0,8376,546,8922
#16-11,gpt,疾病控制率,,43,51,35,43,9.91,0.0,2570,477,3047
#16-11,deepseek,疾病控制率,,43,51,35,43,4.51,0.0,2272,352,2624
#16-11,final_consensus,疾病控制率,,43,51,35,43,14.42,0.0,4842,829,5671
#16-12,gpt,疾病控制率,,29,31,16,25,3.1,0.0,3309,113,3422
#16-12,deepseek,疾病控制率,,29,31,16,25,3.68,0.0,2967,256,3223
#16-12,final_consensus,疾病控制率,,29,31,16,25,6.78,0.0,6276,369,6645
#16-13,gpt,疾病控制率,,40,49,35,48,2.96,0.0,4702,104,4806
#16-13,deepseek,疾病控制率,,40,49,35,48,5.15,0.0,4230,498,4728
#16-13,final_consensus,疾病控制率,,40,49,35,48,8.11,0.0,8932,602,9534
#16-14,gpt,疾病控制率,,13,18,12,20,10.32,0.0,5677,551,6228
#16-14,deepseek,,,,,,,7.98,0.0,4901,591,5492
#16-14,final_human_override,疾病控制率,,13,18,12,20,18.3,178.26,10578,1142,11720
#16-15,gpt,疾病控制率,,26,31,18,25,5.14,0.0,2096,177,2273
#16-15,deepseek,疾病控制率,,26,31,18,25,10.48,0.0,1914,826,2740
#16-15,final_consensus,疾病控制率,,26,31,18,25,15.620000000000001,0.0,4010,1003,5013
#16-16,gpt,疾病控制率,,26,28,19,24,8.89,0.0,2215,450,2665
#16-16,deepseek,疾病控制率,,26,28,19,24,14.02,0.0,2067,1271,3338
#16-16,final_consensus,疾病控制率,,26,28,19,24,22.91,0.0,4282,1721,6003
#16-17,gpt,疾病控制率,,32,50,30,50,3.88,0.0,2379,150,2529
#16-17,deepseek,疾病控制率,,32,50,30,50,3.46,0.0,2100,274,2374
#16-17,final_consensus,疾病控制率,,32,50,30,50,7.34,0.0,4479,424,4903
#16-18,gpt,疾病控制率,,17,20,13,20,3.99,0.0,11500,153,11653
#16-18,deepseek,疾病控制率,,17,20,13,20,5.55,0.0,10111,387,10498
#16-18,final_consensus,疾病控制率,,17,20,13,20,9.54,0.0,21611,540,22151
#16-19,gpt,,,,,,,18.68,0.0,2596,241,2837
#16-19,deepseek,,,,,,,2.63,0.0,2257,82,2339
#16-19,final_consensus,,,,,,,21.31,0.0,4853,323,5176
#16-20,gpt,疾病控制率,,26,32,19,32,2.36,0.0,3041,96,3137
#16-20,deepseek,疾病控制率,,26,32,19,32,2.51,0.0,2617,202,2819
#16-20,final_consensus,疾病控制率,,26,32,19,32,4.869999999999999,0.0,5658,298,5956
#16-21,gpt,疾病控制率,,23,24,18,24,3.7,0.0,3570,126,3696
#16-21,deepseek,疾病控制率,,23,24,18,24,4.95,0.0,3200,482,3682
#16-21,final_consensus,疾病控制率,,23,24,18,24,8.65,0.0,6770,608,7378
#16-22,gpt,疾病控制率,,36,40,27,40,3.68,0.0,4614,141,4755
#16-22,deepseek,疾病控制率,,36,40,27,40,9.22,0.0,4157,803,4960
#16-22,final_consensus,疾病控制率,,36,40,27,40,12.9,0.0,8771,944,9715
#16-23,gpt,,,,,,,3.16,0.0,3311,85,3396
#16-23,deepseek,,,,,,,4.05,0.0,2925,298,3223
#16-23,final_consensus,,,,,,,7.21,0.0,6236,383,6619
#16-8,gpt,疾病控制率,,53,60,45,60,3.84,0.0,2248,138,2386
#16-8,deepseek,疾病控制率,,53,60,45,60,4.47,0.0,1970,372,2342
#16-8,final_consensus,疾病控制率,,53,60,45,60,8.309999999999999,0.0,4218,510,4728
#16-9,gpt,,,,,,,3.52,0.0,3799,146,3945
#16-9,deepseek,,,,,,,2.32,0.0,3374,113,3487
#16-9,final_consensus,,,,,,,5.84,0.0,7173,259,7432
