id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#16-10,gpt,,,,,,,3.62,0,4408,97,4505
#16-10,deepseek,,,,,,,3.93,0,3974,94,4068
#16-10,final_consensus,,,,,,,7.550000000000001,0,8382,191,8573
#16-11,gpt,,,,,,,2.15,0,2581,73,2654
#16-11,deepseek,,,,,,,5.36,0,2267,300,2567
#16-11,final_consensus,,,,,,,7.51,0,4848,373,5221
#16-12,gpt,临床症状改善率,,27,31,13,25,2.59,0,3320,86,3406
#16-12,deepseek,临床症状改善率,,27,31,13,25,3.62,0,2962,165,3127
#16-12,final_consensus,临床症状改善率,,27,31,13,25,6.21,0,6282,251,6533
#16-13,gpt,,,,,,,2.22,0,4713,86,4799
#16-13,deepseek,,,,,,,11.04,0,4225,747,4972
#16-13,final_consensus,,,,,,,13.26,0,8938,833,9771
#16-14,gpt,,,,,,,4.28,0,5688,189,5877
#16-14,deepseek,,,,,,,6.16,0,4896,419,5315
#16-14,final_consensus,,,,,,,10.440000000000001,0,10584,608,11192
#16-15,gpt,临床症状改善率,,25,31,16,25,3.43,0,2107,171,2278
#16-15,deepseek,临床症状改善率,,25,31,16,25,6.85,0,1909,510,2419
#16-15,final_consensus,临床症状改善率,,25,31,16,25,10.28,0,4016,681,4697
#16-16,gpt,,,,,,,3.93,0,2226,170,2396
#16-16,deepseek,,,,,,,2.98,0,2062,132,2194
#16-16,final_consensus,,,,,,,6.91,0,4288,302,4590
#16-17,gpt,,,,,,,3.1,0,2390,131,2521
#16-17,deepseek,,,,,,,6.9,0,2095,426,2521
#16-17,final_consensus,,,,,,,10.0,0,4485,557,5042
#16-18,gpt,,,,,,,5.1,0,11511,213,11724
#16-18,deepseek,,,,,,,9.67,0,10106,506,10612
#16-18,final_consensus,,,,,,,14.77,0,21617,719,22336
#16-19,gpt,,,,,,,3.13,0,2607,107,2714
#16-19,deepseek,,,,,,,2.76,0,2252,134,2386
#16-19,final_consensus,,,,,,,5.89,0,4859,241,5100
#16-20,gpt,,,,,,,13.68,0,3052,116,3168
#16-20,deepseek,,,,,,,4.57,0,2612,174,2786
#16-20,final_consensus,,,,,,,18.25,0,5664,290,5954
#16-21,gpt,,,,,,,3.97,0,3581,127,3708
#16-21,deepseek,,,,,,,7.09,0,3195,492,3687
#16-21,final_consensus,,,,,,,11.06,0,6776,619,7395
#16-22,gpt,,,,,,,7.89,0,4625,493,5118
#16-22,deepseek,,,,,,,11.92,0,4152,792,4944
#16-22,final_consensus,,,,,,,19.81,0,8777,1285,10062
#16-23,gpt,,,,,,,4.67,0,3322,178,3500
#16-23,deepseek,,,,,,,2.47,0,2920,87,3007
#16-23,final_consensus,,,,,,,7.140000000000001,0,6242,265,6507
#16-8,gpt,,,,,,,1.92,0,2259,78,2337
#16-8,deepseek,,,,,,,2.76,0,1965,73,2038
#16-8,final_consensus,,,,,,,4.68,0,4224,151,4375
#16-9,gpt,,,,,,,2.72,0,3810,115,3925
#16-9,deepseek,,,,,,,3.12,0,3369,134,3503
#16-9,final_consensus,,,,,,,5.84,0,7179,249,7428
