id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#16-10,gpt,clinical symptom improvement rate,,,,,,6.38,0.0,3729,328,4057
#16-10,deepseek,clinical symptom improvement rate,,12,30,7,30,5.61,0.0,3381,293,3674
#16-10,final_human_override,clinical symptom improvement rate,,,,,,11.99,47.13,7110,621,7731
#16-11,gpt,总有效率（CR+PR）,,40,51,28,43,15.87,0.0,1902,1074,2976
#16-11,deepseek,clinical symptom improvement rate,,40,51,28,43,5.58,0.0,1674,289,1963
#16-11,final_consensus,总有效率（CR+PR）,,40,51,28,43,21.45,0.0,3576,1363,4939
#16-12,gpt,clinical symptom improvement rate,,27,31,13,25,2.63,0.0,2641,102,2743
#16-12,deepseek,clinical symptom improvement rate,,27,31,13,25,3.8,0.0,2369,216,2585
#16-12,final_consensus,clinical symptom improvement rate,,27,31,13,25,6.43,0.0,5010,318,5328
#16-13,gpt,,,,,,,4.58,0.0,4034,279,4313
#16-13,deepseek,clinical symptom improvement rate,,18,49,6,48,10.68,0.0,3632,727,4359
#16-13,final_human_override,,,,,,,15.26,34.96,7666,1006,8672
#16-14,gpt,,,,,,,5.14,0.0,5009,210,5219
#16-14,deepseek,,,,,,,9.04,0.0,4303,514,4817
#16-14,final_consensus,,,,,,,14.18,0.0,9312,724,10036
#16-15,gpt,clinical symptom improvement rate (marked improvement + partial improvement),,25,31,16,25,4.55,0.0,1428,197,1625
#16-15,deepseek,clinical symptom improvement rate,,25,31,16,25,11.06,0.0,1316,740,2056
#16-15,final_consensus,clinical symptom improvement rate (marked improvement + partial improvement),,25,31,16,25,15.61,0.0,2744,937,3681
#16-16,gpt,clinical symptom improvement rate (CR + PR),,11,28,5,24,13.84,0.0,1547,1011,2558
#16-16,deepseek,,,,,,,12.44,0.0,1469,882,2351
#16-16,final_human_override,,,,,,,26.28,35.41,3016,1893,4909
#16-17,gpt,,,,,,,5.75,0.0,1711,299,2010
#16-17,deepseek,clinical symptom improvement rate,,17,50,6,50,7.29,0.0,1502,529,2031
#16-17,final_human_override,,,,,,,13.04,31.77,3213,828,4041
#16-18,gpt,clinical symptom improvement rate,,,,,,10.03,0.0,10832,546,11378
#16-18,deepseek,clinical symptom improvement rate,,,,,,24.96,0.0,9513,1665,11178
#16-18,final_consensus,clinical symptom improvement rate,,,,,,34.99,0.0,20345,2211,22556
#16-19,gpt,,,,,,,5.83,0.0,1928,329,2257
#16-19,deepseek,clinical symptom improvement rate,,22,44,11,44,6.58,0.0,1659,452,2111
#16-19,final_human_override,,,,,,,12.41,16.51,3587,781,4368
#16-20,gpt,clinical symptom improvement rate (complete response plus partial response),,16,32,8,32,3.24,0.0,2373,106,2479
#16-20,deepseek,,,,,,,8.64,0.0,2019,594,2613
#16-20,final_human_override,,,,,,,11.88,14.36,4392,700,5092
#16-21,gpt,clinical symptom improvement rate,,18,24,13,24,20.39,0.0,2902,552,3454
#16-21,deepseek,clinical symptom improvement rate,,18,24,13,24,6.32,0.0,2602,476,3078
#16-21,final_consensus,clinical symptom improvement rate,,18,24,13,24,26.71,0.0,5504,1028,6532
#16-22,gpt,,,,,,,9.04,0.0,3946,541,4487
#16-22,deepseek,clinical symptom improvement rate,,27,40,14,40,32.3,0.0,3559,2557,6116
#16-22,final_human_override,,,,,,,41.339999999999996,50.77,7505,3098,10603
#16-23,gpt,,,,,,,5.33,0.0,2643,231,2874
#16-23,deepseek,,,,,,,6.44,0.0,2327,341,2668
#16-23,final_consensus,,,,,,,11.77,0.0,4970,572,5542
#16-8,gpt,,,,,,,3.53,0.0,1580,177,1757
#16-8,deepseek,clinical symptom improvement rate,,37,60,17,60,7.62,0.0,1372,398,1770
#16-8,final_human_override,,,,,,,11.15,19.93,2952,575,3527
#16-9,gpt,clinical treatment effective rate (marked improvement/effective plus partial improvement/effective),,28,31,21,31,8.11,0.0,3131,369,3500
#16-9,deepseek,clinical symptom improvement rate,,28,31,21,31,8.04,0.0,2776,300,3076
#16-9,final_consensus,clinical treatment effective rate (marked improvement/effective plus partial improvement/effective),,28,31,21,31,16.15,0.0,5907,669,6576
