id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#16-10,gpt,血红蛋白下降,,5,30,7,30,4.48,0,4388,179,4567
#16-10,deepseek,血红蛋白下降,,5,30,7,30,9.5,0,3924,465,4389
#16-10,final_consensus,血红蛋白下降,,5,30,7,30,13.98,0,8312,644,8956
#16-11,gpt,,,,,,,4.53,0,2561,109,2670
#16-11,deepseek,,,,,,,5.07,0,2217,219,2436
#16-11,final_consensus,,,,,,,9.600000000000001,0,4778,328,5106
#16-12,gpt,血红蛋白减少,,6,31,5,25,5.17,0,3300,152,3452
#16-12,deepseek,血红蛋白减少,,6,31,5,25,6.8,0,2912,253,3165
#16-12,final_consensus,血红蛋白减少,,6,31,5,25,11.969999999999999,0,6212,405,6617
#16-13,gpt,,,,,,,3.71,0,4693,79,4772
#16-13,deepseek,,,,,,,3.94,0,4175,131,4306
#16-13,final_consensus,,,,,,,7.65,0,8868,210,9078
#16-14,gpt,,,,,,,4.01,0,5668,146,5814
#16-14,deepseek,,,,,,,4.19,0,4846,148,4994
#16-14,final_consensus,,,,,,,8.2,0,10514,294,10808
#16-15,gpt,,,,,,,2.34,0,2087,57,2144
#16-15,deepseek,,,,,,,3.02,0,1859,91,1950
#16-15,final_consensus,,,,,,,5.359999999999999,0,3946,148,4094
#16-16,gpt,,,,,,,2.38,0,2206,94,2300
#16-16,deepseek,,,,,,,2.91,0,2012,97,2109
#16-16,final_consensus,,,,,,,5.29,0,4218,191,4409
#16-17,gpt,,,,,,,2.45,0,2370,76,2446
#16-17,deepseek,,,,,,,3.04,0,2045,125,2170
#16-17,final_consensus,,,,,,,5.49,0,4415,201,4616
#16-18,gpt,,,,,,,4.11,0,11491,130,11621
#16-18,deepseek,,,,,,,5.01,0,10056,185,10241
#16-18,final_consensus,,,,,,,9.120000000000001,0,21547,315,21862
#16-19,gpt,,,,,,,3.36,0,2587,70,2657
#16-19,deepseek,,,,,,,2.94,0,2202,77,2279
#16-19,final_consensus,,,,,,,6.3,0,4789,147,4936
#16-20,gpt,,,,,,,3.03,0,3032,81,3113
#16-20,deepseek,,,,,,,4.29,0,2562,208,2770
#16-20,final_consensus,,,,,,,7.32,0,5594,289,5883
#16-21,gpt,,,,,,,2.94,0,3561,66,3627
#16-21,deepseek,,,,,,,3.26,0,3145,94,3239
#16-21,final_consensus,,,,,,,6.199999999999999,0,6706,160,6866
#16-22,gpt,血红蛋白下降,,7,40,10,40,8.12,0,4605,268,4873
#16-22,deepseek,hemoglobinemia,,7,40,10,40,17.07,0,4102,744,4846
#16-22,final_consensus,血红蛋白下降,,7,40,10,40,25.189999999999998,0,8707,1012,9719
#16-23,gpt,,,,,,,4.5,0,3302,94,3396
#16-23,deepseek,,,,,,,3.05,0,2870,127,2997
#16-23,final_consensus,,,,,,,7.55,0,6172,221,6393
#16-8,gpt,,,,,,,2.06,0,2239,64,2303
#16-8,deepseek,,,,,,,3.03,0,1915,105,2020
#16-8,final_consensus,,,,,,,5.09,0,4154,169,4323
#16-9,gpt,,,,,,,5.31,0,3790,64,3854
#16-9,deepseek,,,,,,,4.05,0,3319,134,3453
#16-9,final_consensus,,,,,,,9.36,0,7109,198,7307
