id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#18-10,gpt,,,,,,,,,3.09,0,3650,95,3745
#18-10,deepseek,,,,,,,,,4.59,0,3234,101,3335
#18-10,final_consensus,,,,,,,,,7.68,0,6884,196,7080
#18-11,gpt,IgA,,1.69,0.16,43,1.62,0.11,42,2.69,0,5391,155,5546
#18-11,deepseek,IgA,,1.69,0.16,43,1.62,0.11,42,5.55,0,4898,407,5305
#18-11,final_consensus,IgA,,1.69,0.16,43,1.62,0.11,42,8.24,0,10289,562,10851
#18-12,gpt,,,,,,,,,2.56,0,2813,86,2899
#18-12,deepseek,,,,,,,,,4.99,0,2584,342,2926
#18-12,final_consensus,,,,,,,,,7.550000000000001,0,5397,428,5825
#18-13,gpt,,,,,,,,,2.08,0,3845,115,3960
#18-13,deepseek,,,,,,,,,2.15,0,3493,118,3611
#18-13,final_consensus,,,,,,,,,4.23,0,7338,233,7571
#18-14,gpt,,,,,,,,,2.25,0,5371,100,5471
#18-14,deepseek,,,,,,,,,2.92,0,4881,122,5003
#18-14,final_consensus,,,,,,,,,5.17,0,10252,222,10474
#18-15,gpt,,,,,,,,,2.59,0,4308,102,4410
#18-15,deepseek,,,,,,,,,2.94,0,3986,127,4113
#18-15,final_consensus,,,,,,,,,5.529999999999999,0,8294,229,8523
#18-16,gpt,,,,,,,,,2.4,0,4322,94,4416
#18-16,deepseek,,,,,,,,,6.5,0,3831,428,4259
#18-16,final_consensus,,,,,,,,,8.9,0,8153,522,8675
#18-17,gpt,,,,,,,,,2.65,0,3332,86,3418
#18-17,deepseek,,,,,,,,,1.9,0,3033,75,3108
#18-17,final_consensus,,,,,,,,,4.55,0,6365,161,6526
#18-18,gpt,,,,,,,,,4.25,0,3086,103,3189
#18-18,deepseek,,,,,,,,,2.55,0,2821,111,2932
#18-18,final_consensus,,,,,,,,,6.8,0,5907,214,6121
#18-19,gpt,,,,,,,,,2.73,0,4202,108,4310
#18-19,deepseek,,,,,,,,,2.23,0,3864,109,3973
#18-19,final_consensus,,,,,,,,,4.96,0,8066,217,8283
#18-20,gpt,,,,,,,,,2.15,0,4227,93,4320
#18-20,deepseek,,,,,,,,,2.46,0,3836,116,3952
#18-20,final_consensus,,,,,,,,,4.609999999999999,0,8063,209,8272
#18-21,gpt,,,,,,,,,1.95,0,3020,85,3105
#18-21,deepseek,,,,,,,,,2.66,0,2705,162,2867
#18-21,final_consensus,,,,,,,,,4.61,0,5725,247,5972
#18-22,gpt,,,,,,,,,1.84,0,3930,85,4015
#18-22,deepseek,,,,,,,,,2.2,0,3586,110,3696
#18-22,final_consensus,,,,,,,,,4.04,0,7516,195,7711
#18-23,gpt,IgA,,1.57,0.06,34,1.54,0.03,34,2.87,0,4637,147,4784
#18-23,deepseek,IgA,,1.57,0.06,34,1.54,0.03,34,6.67,0,4147,423,4570
#18-23,final_consensus,IgA,,1.57,0.06,34,1.54,0.03,34,9.54,0,8784,570,9354
#18-24,gpt,IgA,,1.56,0.05,32,1.53,0.04,32,2.95,0,3290,131,3421
#18-24,deepseek,IgA,,1.56,0.05,32,1.53,0.04,32,4.74,0,2987,330,3317
#18-24,final_consensus,IgA,,1.56,0.05,32,1.53,0.04,32,7.69,0,6277,461,6738
#18-25,gpt,,,,,,,,,2.2,0,2182,94,2276
#18-25,deepseek,,,,,,,,,2.63,0,2002,141,2143
#18-25,final_consensus,,,,,,,,,4.83,0,4184,235,4419
#18-26,gpt,,,,,,,,,1.99,0,3206,107,3313
#18-26,deepseek,,,,,,,,,2.0,0,2886,96,2982
#18-26,final_consensus,,,,,,,,,3.99,0,6092,203,6295
#18-8,gpt,,,,,,,,,2.31,0,3938,109,4047
#18-8,deepseek,,,,,,,,,3.22,0,3586,167,3753
#18-8,final_consensus,,,,,,,,,5.53,0,7524,276,7800
#18-9,gpt,IgA,,1.30,0.21,55,0.80,0.21,55,7.23,0,3318,529,3847
#18-9,deepseek,IgA,,1.30,0.21,55,0.80,0.21,55,3.92,0,3017,233,3250
#18-9,final_consensus,IgA,,1.30,0.21,55,0.80,0.21,55,11.15,0,6335,762,7097
