id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#18-10,gpt,,,,,,,,,2.64,0,3001,84,3085
#18-10,deepseek,,,,,,,,,4.75,0,2651,321,2972
#18-10,final_consensus,,,,,,,,,7.390000000000001,0,5652,405,6057
#18-11,gpt,IgA level,,1.69,0.16,43,1.62,0.11,42,3.58,0,4742,132,4874
#18-11,deepseek,IgA level (g/L),,1.69,0.16,43,1.62,0.11,42,4.07,0,4315,192,4507
#18-11,final_consensus,IgA level,,1.69,0.16,43,1.62,0.11,42,7.65,0,9057,324,9381
#18-12,gpt,IgA,,,,,,,,2.34,0,2164,81,2245
#18-12,deepseek,,,,,,,,,3.11,0,2001,97,2098
#18-12,final_consensus,IgA,,,,,,,,5.449999999999999,0,4165,178,4343
#18-13,gpt,IgA,,,,,,,,2.64,0,3196,100,3296
#18-13,deepseek,,,,,,,,,4.43,0,2910,367,3277
#18-13,final_consensus,IgA,,,,,,,,7.07,0,6106,467,6573
#18-14,gpt,IgA,,,,,,,,2.37,0,4722,91,4813
#18-14,deepseek,,,,,,,,,4.69,0,4298,285,4583
#18-14,final_consensus,IgA,,,,,,,,7.0600000000000005,0,9020,376,9396
#18-15,gpt,IgA,,,,,,,,2.15,0,3659,83,3742
#18-15,deepseek,IgA level,,,,,,,,5.84,0,3403,434,3837
#18-15,final_consensus,IgA,,,,,,,,7.99,0,7062,517,7579
#18-16,gpt,IgA,,,,,,,,2.88,0,3673,112,3785
#18-16,deepseek,,,,,,,,,4.72,0,3248,321,3569
#18-16,final_consensus,IgA,,,,,,,,7.6,0,6921,433,7354
#18-17,gpt,,,,,,,,,2.54,0,2683,117,2800
#18-17,deepseek,IgA level,,,,,,,,5.83,0,2450,438,2888
#18-17,final_consensus,,,,,,,,,8.370000000000001,0,5133,555,5688
#18-18,gpt,IgA,,,,,,,,3.99,0,2437,60,2497
#18-18,deepseek,,,,,,,,,4.6,0,2238,355,2593
#18-18,final_consensus,IgA,,,,,,,,8.59,0,4675,415,5090
#18-19,gpt,IgA level,,,,,,,,3.52,0,3553,109,3662
#18-19,deepseek,IgA level (Immunoglobulin A),,,,,,,,5.7,0,3281,415,3696
#18-19,final_consensus,IgA level,,,,,,,,9.22,0,6834,524,7358
#18-20,gpt,,,,,,,,,4.09,0,3578,146,3724
#18-20,deepseek,,,,,,,,,4.39,0,3253,230,3483
#18-20,final_consensus,,,,,,,,,8.48,0,6831,376,7207
#18-21,gpt,IgA,,,,,,,,2.02,0,2371,74,2445
#18-21,deepseek,,,,,,,,,3.63,0,2122,152,2274
#18-21,final_consensus,IgA,,,,,,,,5.65,0,4493,226,4719
#18-22,gpt,IgA level,,,,,,,,3.07,0,3281,72,3353
#18-22,deepseek,IgA,,,,,,,,5.22,0,3003,332,3335
#18-22,final_consensus,IgA level,,,,,,,,8.29,0,6284,404,6688
#18-23,gpt,IgA level,,1.57,0.06,34,1.54,0.03,34,3.35,0,3988,116,4104
#18-23,deepseek,IgA,,1.57,0.06,34,1.54,0.03,34,6.48,0,3564,436,4000
#18-23,final_consensus,IgA level,,1.57,0.06,34,1.54,0.03,34,9.83,0,7552,552,8104
#18-24,gpt,IgA level,,1.56,0.05,32,1.53,0.04,32,3.38,0,2641,124,2765
#18-24,deepseek,IgA,,1.56,0.05,32,1.53,0.04,32,4.09,0,2404,284,2688
#18-24,final_consensus,IgA level,,1.56,0.05,32,1.53,0.04,32,7.47,0,5045,408,5453
#18-25,gpt,IgA,,,,,,,,2.17,0,1533,88,1621
#18-25,deepseek,,,,,,,,,4.06,0,1419,267,1686
#18-25,final_consensus,IgA,,,,,,,,6.2299999999999995,0,2952,355,3307
#18-26,gpt,IgA level,,,,,,,,2.04,0,2557,94,2651
#18-26,deepseek,,,,,,,,,2.03,0,2303,95,2398
#18-26,final_consensus,IgA level,,,,,,,,4.07,0,4860,189,5049
#18-8,gpt,IgA,,,,,,,,2.21,0,3289,79,3368
#18-8,deepseek,IgA,,,,,,,,3.43,0,3003,213,3216
#18-8,final_consensus,IgA,,,,,,,,5.640000000000001,0,6292,292,6584
#18-9,gpt,IgA,,1.30,0.21,55,0.80,0.21,55,4.86,0,2669,269,2938
#18-9,deepseek,IgA level,,1.30,0.21,55,0.80,0.21,55,3.07,0,2434,196,2630
#18-9,final_consensus,IgA,,1.30,0.21,55,0.80,0.21,55,7.93,0,5103,465,5568
