id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#18-10,gpt,,,,,,,,,2.87,0,3650,78,3728
#18-10,deepseek,,,,,,,,,2.9,0,3234,96,3330
#18-10,final_consensus,,,,,,,,,5.77,0,6884,174,7058
#18-11,gpt,IgG,,9.89,0.70,43,9.59,0.57,42,3.02,0,5391,159,5550
#18-11,deepseek,IgG,,9.89,0.70,43,9.59,0.57,42,5.54,0,4898,225,5123
#18-11,final_consensus,IgG,,9.89,0.70,43,9.59,0.57,42,8.56,0,10289,384,10673
#18-12,gpt,,,,,,,,,2.96,0,2813,95,2908
#18-12,deepseek,,,,,,,,,2.85,0,2584,119,2703
#18-12,final_consensus,,,,,,,,,5.8100000000000005,0,5397,214,5611
#18-13,gpt,,,,,,,,,2.95,0,3845,90,3935
#18-13,deepseek,,,,,,,,,4.02,0,3493,213,3706
#18-13,final_consensus,,,,,,,,,6.97,0,7338,303,7641
#18-14,gpt,,,,,,,,,2.46,0,5371,99,5470
#18-14,deepseek,,,,,,,,,2.76,0,4881,103,4984
#18-14,final_consensus,,,,,,,,,5.22,0,10252,202,10454
#18-15,gpt,,,,,,,,,2.46,0,4308,77,4385
#18-15,deepseek,,,,,,,,,3.98,0,3986,158,4144
#18-15,final_consensus,,,,,,,,,6.4399999999999995,0,8294,235,8529
#18-16,gpt,,,,,,,,,2.1,0,4322,85,4407
#18-16,deepseek,,,,,,,,,4.68,0,3831,199,4030
#18-16,final_consensus,,,,,,,,,6.779999999999999,0,8153,284,8437
#18-17,gpt,,,,,,,,,2.15,0,3332,86,3418
#18-17,deepseek,,,,,,,,,2.46,0,3033,108,3141
#18-17,final_consensus,,,,,,,,,4.609999999999999,0,6365,194,6559
#18-18,gpt,,,,,,,,,2.06,0,3086,89,3175
#18-18,deepseek,,,,,,,,,2.85,0,2821,116,2937
#18-18,final_consensus,,,,,,,,,4.91,0,5907,205,6112
#18-19,gpt,,,,,,,,,2.15,0,4202,79,4281
#18-19,deepseek,,,,,,,,,1.95,0,3864,99,3963
#18-19,final_consensus,,,,,,,,,4.1,0,8066,178,8244
#18-20,gpt,,,,,,,,,2.11,0,4227,86,4313
#18-20,deepseek,,,,,,,,,2.89,0,3836,126,3962
#18-20,final_consensus,,,,,,,,,5.0,0,8063,212,8275
#18-21,gpt,,,,,,,,,2.27,0,3020,80,3100
#18-21,deepseek,,,,,,,,,2.11,0,2705,95,2800
#18-21,final_consensus,,,,,,,,,4.38,0,5725,175,5900
#18-22,gpt,,,,,,,,,2.22,0,3930,91,4021
#18-22,deepseek,,,,,,,,,3.61,0,3586,168,3754
#18-22,final_consensus,,,,,,,,,5.83,0,7516,259,7775
#18-23,gpt,IgG,,9.80,0.39,34,8.24,0.27,34,2.78,0,4637,159,4796
#18-23,deepseek,IgG,,9.80,0.39,34,8.24,0.27,34,7.93,0,4147,421,4568
#18-23,final_consensus,IgG,,9.80,0.39,34,8.24,0.27,34,10.709999999999999,0,8784,580,9364
#18-24,gpt,IgG,,9.71,0.35,32,8.19,0.30,32,2.9,0,3290,115,3405
#18-24,deepseek,IgG,,9.71,0.35,32,8.19,0.30,32,3.34,0,2987,124,3111
#18-24,final_consensus,IgG,,9.71,0.35,32,8.19,0.30,32,6.24,0,6277,239,6516
#18-25,gpt,,,,,,,,,2.15,0,2182,93,2275
#18-25,deepseek,,,,,,,,,2.4,0,2002,102,2104
#18-25,final_consensus,,,,,,,,,4.55,0,4184,195,4379
#18-26,gpt,,,,,,,,,1.99,0,3206,78,3284
#18-26,deepseek,,,,,,,,,1.97,0,2886,81,2967
#18-26,final_consensus,,,,,,,,,3.96,0,6092,159,6251
#18-8,gpt,,,,,,,,,2.55,0,3938,92,4030
#18-8,deepseek,,,,,,,,,2.73,0,3586,121,3707
#18-8,final_consensus,,,,,,,,,5.279999999999999,0,7524,213,7737
#18-9,gpt,IgG,,9.8,0.4,55,8.0,0.3,55,3.18,0,3318,180,3498
#18-9,deepseek,IgG,,9.8,0.4,55,8.0,0.3,55,2.64,0,3017,133,3150
#18-9,final_consensus,IgG,,9.8,0.4,55,8.0,0.3,55,5.82,0,6335,313,6648
