id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#18-10,gpt,IgG,,,,,,,,4.61,0,3001,113,3114
#18-10,deepseek,,,,,,,,,5.88,0,2651,279,2930
#18-10,final_consensus,IgG,,,,,,,,10.49,0,5652,392,6044
#18-11,gpt,IgG level (g/L) after intervention,,9.89,0.70,43,9.59,0.57,42,3.73,0,4742,138,4880
#18-11,deepseek,IgG level after treatment (g/L),,9.89,0.70,43,9.59,0.57,42,5.47,0,4315,247,4562
#18-11,final_consensus,IgG level (g/L) after intervention,,9.89,0.70,43,9.59,0.57,42,9.2,0,9057,385,9442
#18-12,gpt,,,,,,,,,2.81,0,2164,77,2241
#18-12,deepseek,,,,,,,,,3.27,0,2001,139,2140
#18-12,final_consensus,,,,,,,,,6.08,0,4165,216,4381
#18-13,gpt,,,,,,,,,3.39,0,3196,166,3362
#18-13,deepseek,IgG,,,,,,,,4.27,0,2910,222,3132
#18-13,final_consensus,,,,,,,,,7.66,0,6106,388,6494
#18-14,gpt,IgG level,,,,,,,,3.6,0,4722,111,4833
#18-14,deepseek,,,,,,,,,6.06,0,4298,313,4611
#18-14,final_consensus,IgG level,,,,,,,,9.66,0,9020,424,9444
#18-15,gpt,IgG level,,,,,,,,4.0,0,3659,165,3824
#18-15,deepseek,,,,,,,,,5.3,0,3403,224,3627
#18-15,final_consensus,IgG level,,,,,,,,9.3,0,7062,389,7451
#18-16,gpt,IgG,,,,,,,,2.68,0,3673,96,3769
#18-16,deepseek,,,,,,,,,3.41,0,3248,169,3417
#18-16,final_consensus,IgG,,,,,,,,6.09,0,6921,265,7186
#18-17,gpt,,,,,,,,,4.89,0,2683,263,2946
#18-17,deepseek,IgG,,,,,,,,10.43,0,2450,511,2961
#18-17,final_consensus,,,,,,,,,15.32,0,5133,774,5907
#18-18,gpt,,,,,,,,,3.66,0,2437,104,2541
#18-18,deepseek,,,,,,,,,4.58,0,2238,225,2463
#18-18,final_consensus,,,,,,,,,8.24,0,4675,329,5004
#18-19,gpt,IgG,,,,,,,,1.98,0,3553,77,3630
#18-19,deepseek,IgG,,,,,,,,4.86,0,3281,241,3522
#18-19,final_consensus,IgG,,,,,,,,6.84,0,6834,318,7152
#18-20,gpt,,,,,,,,,2.77,0,3578,130,3708
#18-20,deepseek,IgG level,,,,,,,,5.22,0,3253,245,3498
#18-20,final_consensus,,,,,,,,,7.99,0,6831,375,7206
#18-21,gpt,IgG,,,,,,,,2.17,0,2371,76,2447
#18-21,deepseek,,,,,,,,,6.73,0,2122,390,2512
#18-21,final_consensus,IgG,,,,,,,,8.9,0,4493,466,4959
#18-22,gpt,,,,,,,,,4.6,0,3281,123,3404
#18-22,deepseek,,,,,,,,,2.46,0,3003,116,3119
#18-22,final_consensus,,,,,,,,,7.06,0,6284,239,6523
#18-23,gpt,IgG,,9.80,0.39,34,8.24,0.27,34,2.85,0,3988,156,4144
#18-23,deepseek,IgG,,9.80,0.39,34,8.24,0.27,34,8.08,0,3564,441,4005
#18-23,final_consensus,IgG,,9.80,0.39,34,8.24,0.27,34,10.93,0,7552,597,8149
#18-24,gpt,IgG level (mg/L) after intervention,,9.71,0.35,32,8.19,0.30,32,3.2,0,2641,126,2767
#18-24,deepseek,IgG,,9.71,0.35,32,8.19,0.30,32,4.64,0,2404,271,2675
#18-24,final_consensus,IgG level (mg/L) after intervention,,9.71,0.35,32,8.19,0.30,32,7.84,0,5045,397,5442
#18-25,gpt,,,,,,,,,1.82,0,1533,68,1601
#18-25,deepseek,,,,,,,,,4.61,0,1419,229,1648
#18-25,final_consensus,,,,,,,,,6.430000000000001,0,2952,297,3249
#18-26,gpt,IgG level,,,,,,,,2.26,0,2557,101,2658
#18-26,deepseek,,,,,,,,,4.12,0,2303,207,2510
#18-26,final_consensus,IgG level,,,,,,,,6.38,0,4860,308,5168
#18-8,gpt,IgG,,,,,,,,2.43,0,3289,100,3389
#18-8,deepseek,,,,,,,,,6.86,0,3003,382,3385
#18-8,final_consensus,IgG,,,,,,,,9.290000000000001,0,6292,482,6774
#18-9,gpt,IgG level,,9.8,0.4,55,8.0,0.3,55,4.01,0,2669,174,2843
#18-9,deepseek,IgG,,9.8,0.4,55,8.0,0.3,55,4.64,0,2434,245,2679
#18-9,final_consensus,IgG level,,9.8,0.4,55,8.0,0.3,55,8.649999999999999,0,5103,419,5522
