id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#1-10,gpt,,,,,,,3.73,0,4178,156,4334
#1-10,deepseek,,,,,,,5.81,0,3773,218,3991
#1-10,final_consensus,,,,,,,9.54,0,7951,374,8325
#1-11,gpt,,,,,,,2.77,0,4581,100,4681
#1-11,deepseek,,,,,,,6.5,0,4057,339,4396
#1-11,final_consensus,,,,,,,9.27,0,8638,439,9077
#1-12,gpt,,,,,,,2.75,0,3206,71,3277
#1-12,deepseek,,,,,,,3.6,0,2906,148,3054
#1-12,final_consensus,,,,,,,6.35,0,6112,219,6331
#1-13,gpt,,,,,,,2.92,0,4218,125,4343
#1-13,deepseek,,,,,,,5.74,0,3859,211,4070
#1-13,final_consensus,,,,,,,8.66,0,8077,336,8413
#1-14,gpt,,,,,,,3.38,0,3281,74,3355
#1-14,deepseek,,,,,,,3.64,0,2839,92,2931
#1-14,final_consensus,,,,,,,7.02,0,6120,166,6286
#1-15,gpt,,,,,,,1.58,0,3435,53,3488
#1-15,deepseek,,,,,,,4.68,0,3179,206,3385
#1-15,final_consensus,,,,,,,6.26,0,6614,259,6873
#1-16,gpt,体质量改善率,,19,30,11,30,2.69,0,3470,131,3601
#1-16,deepseek,体重改善率,,19,30,11,30,6.61,0,3151,269,3420
#1-16,final_consensus,体质量改善率,,19,30,11,30,9.3,0,6621,400,7021
#1-17,gpt,体质量改善率,,13,22,6,21,3.3,0,3254,139,3393
#1-17,deepseek,体重改善率,,13,22,6,21,6.08,0,2925,322,3247
#1-17,final_consensus,体质量改善率,,13,22,6,21,9.379999999999999,0,6179,461,6640
#1-18,gpt,,,,,,,4.18,0,4013,139,4152
#1-18,deepseek,,,,,,,4.84,0,3711,199,3910
#1-18,final_consensus,,,,,,,9.02,0,7724,338,8062
#1-9,gpt,,,,,,,3.88,0,3984,180,4164
#1-9,deepseek,,,,,,,7.21,0,3640,467,4107
#1-9,final_consensus,,,,,,,11.09,0,7624,647,8271
