id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#1-10,gpt,,,,,,,6.62,0.0,3533,347,3880
#1-10,deepseek,,,,,,,3.5,0.0,3200,145,3345
#1-10,final_consensus,,,,,,,10.120000000000001,0.0,6733,492,7225
#1-11,gpt,,,,,,,2.71,0.0,3936,150,4086
#1-11,deepseek,weight improvement rate,,,,,,6.93,0.0,3484,392,3876
#1-11,final_consensus,,,,,,,9.64,0.0,7420,542,7962
#1-12,gpt,,,,,,,3.23,0.0,2561,148,2709
#1-12,deepseek,,,,,,,6.66,0.0,2333,426,2759
#1-12,final_consensus,,,,,,,9.89,0.0,4894,574,5468
#1-13,gpt,,,,,,,8.79,0.0,3573,541,4114
#1-13,deepseek,weight improvement rate,,16,27,7,26,4.49,0.0,3286,152,3438
#1-13,final_human_override,,,,,,,13.28,38.04,6859,693,7552
#1-14,gpt,,,,,,,2.86,0.0,2636,116,2752
#1-14,deepseek,,,,,,,5.08,0.0,2266,310,2576
#1-14,final_consensus,,,,,,,7.9399999999999995,0.0,4902,426,5328
#1-15,gpt,,,,,,,3.63,0.0,2790,107,2897
#1-15,deepseek,,,,,,,3.71,0.0,2606,238,2844
#1-15,final_consensus,,,,,,,7.34,0.0,5396,345,5741
#1-16,gpt,weight improvement rate (improved plus stable),,19,30,11,30,2.35,0.0,2825,122,2947
#1-16,deepseek,weight improvement rate,,19,30,11,30,6.19,0.0,2578,415,2993
#1-16,final_consensus,weight improvement rate (improved plus stable),,19,30,11,30,8.540000000000001,0.0,5403,537,5940
#1-17,gpt,weight improvement rate,,13,22,6,21,4.27,0.0,2609,125,2734
#1-17,deepseek,weight_improvement_rate,,13,22,6,21,8.56,0.0,2352,627,2979
#1-17,final_consensus,weight improvement rate,,13,22,6,21,12.83,0.0,4961,752,5713
#1-18,gpt,,,,,,,9.98,0.0,3368,541,3909
#1-18,deepseek,,,,,,,13.51,0.0,3138,833,3971
#1-18,final_consensus,,,,,,,23.490000000000002,0.0,6506,1374,7880
#1-9,gpt,,,,,,,6.26,0.0,3339,243,3582
#1-9,deepseek,,,,,,,11.47,0.0,3067,799,3866
#1-9,final_consensus,,,,,,,17.73,0.0,6406,1042,7448
