id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#27-15,gpt,,,,,,,,,2.64,0,3637,62,3699
#27-15,deepseek,,,,,,,,,3.88,0,3328,109,3437
#27-15,final_consensus,,,,,,,,,6.52,0,6965,171,7136
#27-16,gpt,,,,,,,,,3.38,0,3396,52,3448
#27-16,deepseek,,,,,,,,,4.36,0,3124,166,3290
#27-16,final_consensus,,,,,,,,,7.74,0,6520,218,6738
#27-17,gpt,CD4+,,35.8,8.4,70,30.1,7.2,67,2.7,0,5568,102,5670
#27-17,deepseek,CD4+,,35.8,8.4,70,30.1,7.2,67,4.92,0,5164,234,5398
#27-17,final_consensus,CD4+,,35.8,8.4,70,30.1,7.2,67,7.62,0,10732,336,11068
#27-18,gpt,CD4+,,37.65,8.36,33,29.87,6.98,36,2.85,0,4057,126,4183
#27-18,deepseek,CD4+,,37.65,8.36,33,29.87,6.98,36,5.1,0,3696,219,3915
#27-18,final_consensus,CD4+,,37.65,8.36,33,29.87,6.98,36,7.949999999999999,0,7753,345,8098
#27-19,gpt,CD4+,,39.15,4.97,43,34.27,5.01,42,3.52,0,5386,112,5498
#27-19,deepseek,CD4+,,39.15,4.97,43,34.27,5.01,42,5.05,0,4906,259,5165
#27-19,final_consensus,CD4+,,39.15,4.97,43,34.27,5.01,42,8.57,0,10292,371,10663
#27-20,gpt,CD4+,,36.85,6.29,60,30.74,5.35,60,4.53,0,7777,127,7904
#27-20,deepseek,CD4+,,36.85,6.29,60,30.74,5.35,60,4.63,0,7111,160,7271
#27-20,final_consensus,CD4+,,36.85,6.29,60,30.74,5.35,60,9.16,0,14888,287,15175
#27-21,gpt,,,,,,,,,2.48,0,4194,59,4253
#27-21,deepseek,,,,,,,,,4.06,0,3841,160,4001
#27-21,final_consensus,,,,,,,,,6.539999999999999,0,8035,219,8254
#27-22,gpt,,,,,,,,,2.3,0,4941,64,5005
#27-22,deepseek,,,,,,,,,3.63,0,4504,90,4594
#27-22,final_consensus,,,,,,,,,5.93,0,9445,154,9599
#27-23,gpt,,,,,,,,,2.51,0,5001,99,5100
#27-23,deepseek,,,,,,,,,5.73,0,4678,217,4895
#27-23,final_consensus,,,,,,,,,8.24,0,9679,316,9995
#27-24,gpt,CD4+,,40.05,9.16,99,31.30,8.74,101,3.48,0,5624,101,5725
#27-24,deepseek,CD4+,,40.05,9.16,99,31.30,8.74,101,5.65,0,5105,277,5382
#27-24,final_consensus,CD4+,,40.05,9.16,99,31.30,8.74,101,9.13,0,10729,378,11107
#27-25,gpt,,,,,,,,,2.74,0,3195,62,3257
#27-25,deepseek,,,,,,,,,4.13,0,2874,154,3028
#27-25,final_consensus,,,,,,,,,6.87,0,6069,216,6285
#27-26,gpt,CD4+,,0.23,0.03,42,0.21,0.04,40,3.55,0,5181,151,5332
#27-26,deepseek,CD4+,,0.23,0.03,42,0.21,0.04,40,6.55,0,4606,306,4912
#27-26,final_consensus,CD4+,,0.23,0.03,42,0.21,0.04,40,10.1,0,9787,457,10244
#27-27,gpt,,,,,,,,,2.66,0,3505,62,3567
#27-27,deepseek,,,,,,,,,3.97,0,3114,101,3215
#27-27,final_consensus,,,,,,,,,6.630000000000001,0,6619,163,6782
#27-28,gpt,CD4+,,37.64,8.35,66,29.86,6.99,72,3.2,0,3105,114,3219
#27-28,deepseek,CD4+,,37.64,8.35,66,29.86,6.99,72,5.03,0,2839,255,3094
#27-28,final_consensus,CD4+,,37.64,8.35,66,29.86,6.99,72,8.23,0,5944,369,6313
