id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#27-15,gpt,CD4+/CD8+ T-cell ratio,,,,,,,,8.83,0.0,2996,94,3090
#27-15,deepseek,,,,,,,,,2.9,0.0,2745,144,2889
#27-15,final_consensus,CD4+/CD8+ T-cell ratio,,,,,,,,11.73,0.0,5741,238,5979
#27-16,gpt,CD4+/CD8+ T-cell ratio,,,,,,,,1.94,0.0,2755,90,2845
#27-16,deepseek,,,,,,,,,3.62,0.0,2541,223,2764
#27-16,final_consensus,CD4+/CD8+ T-cell ratio,,,,,,,,5.5600000000000005,0.0,5296,313,5609
#27-17,gpt,CD4+/CD8+ T-cell ratio,,1.27,0.21,70,1.13,0.16,67,2.71,0.0,4927,122,5049
#27-17,deepseek,CD4+/CD8+ T-cell ratio,,1.27,0.21,70,1.13,0.16,67,2.72,0.0,4581,181,4762
#27-17,final_consensus,CD4+/CD8+ T-cell ratio,,1.27,0.21,70,1.13,0.16,67,5.43,0.0,9508,303,9811
#27-18,gpt,CD4+/CD8+ T-cell ratio,,,,,,,,4.35,0.0,3416,298,3714
#27-18,deepseek,,,,,,,,,5.09,0.0,3113,334,3447
#27-18,final_consensus,CD4+/CD8+ T-cell ratio,,,,,,,,9.44,0.0,6529,632,7161
#27-19,gpt,CD4+/CD8+ T-cell ratio,,1.45,0.21,43,1.07,0.19,42,8.96,0.0,4745,134,4879
#27-19,deepseek,CD4+/CD8+ T-cell ratio,,1.45,0.21,43,1.07,0.19,42,4.71,0.0,4323,292,4615
#27-19,final_consensus,CD4+/CD8+ T-cell ratio,,1.45,0.21,43,1.07,0.19,42,13.670000000000002,0.0,9068,426,9494
#27-20,gpt,CD4+/CD8+ T-cell ratio,,2.04,0.45,60,1.75,0.39,60,2.87,0.0,7136,142,7278
#27-20,deepseek,CD4+/CD8+ T-cell ratio,,2.04,0.45,60,1.75,0.39,60,4.72,0.0,6528,320,6848
#27-20,final_consensus,CD4+/CD8+ T-cell ratio,,2.04,0.45,60,1.75,0.39,60,7.59,0.0,13664,462,14126
#27-21,gpt,CD4+/CD8+ T-cell ratio,,,,,,,,3.29,0.0,3553,131,3684
#27-21,deepseek,CD4+/CD8+ T-cell ratio,,,,,,,,4.73,0.0,3258,335,3593
#27-21,final_consensus,CD4+/CD8+ T-cell ratio,,,,,,,,8.02,0.0,6811,466,7277
#27-22,gpt,,,,,,,,,3.02,0.0,4300,124,4424
#27-22,deepseek,,,,,,,,,4.08,0.0,3921,250,4171
#27-22,final_consensus,,,,,,,,,7.1,0.0,8221,374,8595
#27-23,gpt,CD4+/CD8+ T-cell ratio after treatment,,1.71,0.59,50,0.89,0.74,50,2.52,0.0,4360,123,4483
#27-23,deepseek,CD4+/CD8+ T-cell ratio,,1.71,0.59,50,0.89,0.74,50,3.29,0.0,4095,225,4320
#27-23,final_consensus,CD4+/CD8+ T-cell ratio after treatment,,1.71,0.59,50,0.89,0.74,50,5.8100000000000005,0.0,8455,348,8803
#27-24,gpt,CD4+/CD8+ T-cell ratio,,1.43,0.75,99,0.96,0.58,101,2.75,0.0,4983,109,5092
#27-24,deepseek,CD4+/CD8+ T-cell ratio,,1.43,0.75,99,0.96,0.58,101,3.63,0.0,4522,235,4757
#27-24,final_consensus,CD4+/CD8+ T-cell ratio,,1.43,0.75,99,0.96,0.58,101,6.38,0.0,9505,344,9849
#27-25,gpt,CD4+/CD8+ T-cell ratio,,,,,,,,2.26,0.0,2554,91,2645
#27-25,deepseek,,,,,,,,,2.14,0.0,2291,105,2396
#27-25,final_consensus,CD4+/CD8+ T-cell ratio,,,,,,,,4.4,0.0,4845,196,5041
#27-26,gpt,CD4+/CD8+ T-cell ratio,,0.11,0.00,42,0.10,0.00,40,3.18,0.0,4540,179,4719
#27-26,deepseek,CD4+/CD8+ T-cell ratio,,0.11,0.00,42,0.10,0.00,40,9.6,0.0,4023,697,4720
#27-26,final_consensus,CD4+/CD8+ T-cell ratio,,0.11,0.00,42,0.10,0.00,40,12.78,0.0,8563,876,9439
#27-27,gpt,CD4+/CD8+ T-cell ratio,,,,,,,,8.1,0.0,2864,87,2951
#27-27,deepseek,,,,,,,,,6.07,0.0,2531,401,2932
#27-27,final_consensus,CD4+/CD8+ T-cell ratio,,,,,,,,14.17,0.0,5395,488,5883
#27-28,gpt,CD4+/CD8+ T-cell ratio,,,,,,,,8.73,0.0,2464,142,2606
#27-28,deepseek,CD4+/CD8+ T-cell ratio,,,,66,,,72,14.88,0.0,2256,957,3213
#27-28,final_human_override,CD4+/CD8+ T-cell ratio,,,,,,,,23.61,21.37,4720,1099,5819
