id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#27-15,gpt,客观缓解率,,28,35,26,35,6.48,0.0,3578,128,3706
#27-15,deepseek,客观缓解率,,28,35,26,35,5.52,0.0,3246,171,3417
#27-15,final_consensus,客观缓解率,,28,35,26,35,12.0,0.0,6824,299,7123
#27-16,gpt,客观缓解率,,54,63,43,63,4.63,0.0,3337,151,3488
#27-16,deepseek,客观缓解率,,54,63,43,63,4.19,0.0,3042,147,3189
#27-16,final_consensus,客观缓解率,,54,63,43,63,8.82,0.0,6379,298,6677
#27-17,gpt,客观缓解率,,47,70,42,67,4.8,0.0,5509,136,5645
#27-17,deepseek,客观缓解率,,47,70,42,67,4.89,0.0,5082,178,5260
#27-17,final_consensus,客观缓解率,,47,70,42,67,9.69,0.0,10591,314,10905
#27-18,gpt,客观缓解率,,22,33,22,36,3.8,0.0,3998,124,4122
#27-18,deepseek,客观缓解率,,22,33,22,36,6.24,0.0,3614,291,3905
#27-18,final_consensus,客观缓解率,,22,33,22,36,10.04,0.0,7612,415,8027
#27-19,gpt,客观缓解率,,35,43,29,42,7.49,0.0,5327,325,5652
#27-19,deepseek,客观缓解率,,35,43,29,42,9.62,0.0,4824,500,5324
#27-19,final_consensus,客观缓解率,,35,43,29,42,17.11,0.0,10151,825,10976
#27-20,gpt,客观缓解率,,51,60,43,60,25.27,0.0,7718,1589,9307
#27-20,deepseek,客观缓解率,,47,60,48,60,9.89,0.0,7029,496,7525
#27-20,final_human_override,客观缓解率,,47,60,48,60,35.16,33.48,14747,2085,16832
#27-21,gpt,客观缓解率,,50,63,39,63,4.92,0.0,4135,112,4247
#27-21,deepseek,客观缓解率,,50,63,39,63,5.58,0.0,3759,245,4004
#27-21,final_consensus,客观缓解率,,50,63,39,63,10.5,0.0,7894,357,8251
#27-22,gpt,客观缓解率,,32,39,28,39,4.32,0.0,4882,131,5013
#27-22,deepseek,客观缓解率,,32,39,28,39,4.62,0.0,4422,174,4596
#27-22,final_consensus,客观缓解率,,32,39,28,39,8.940000000000001,0.0,9304,305,9609
#27-23,gpt,客观缓解率,,44,50,36,50,3.52,0.0,4942,123,5065
#27-23,deepseek,客观缓解率,,44,50,36,50,7.14,0.0,4596,289,4885
#27-23,final_consensus,客观缓解率,,44,50,36,50,10.66,0.0,9538,412,9950
#27-24,gpt,客观缓解率,,82,99,70,101,3.73,0.0,5565,141,5706
#27-24,deepseek,客观缓解率,,82,99,70,101,6.18,0.0,5023,231,5254
#27-24,final_consensus,客观缓解率,,82,99,70,101,9.91,0.0,10588,372,10960
#27-25,gpt,客观缓解率,,28,35,27,35,4.79,0.0,3136,136,3272
#27-25,deepseek,客观缓解率,,28,35,27,35,4.15,0.0,2792,125,2917
#27-25,final_consensus,客观缓解率,,28,35,27,35,8.940000000000001,0.0,5928,261,6189
#27-26,gpt,客观缓解率,,29,42,26,40,4.18,0.0,5122,139,5261
#27-26,deepseek,客观缓解率,,29,42,26,40,6.51,0.0,4524,293,4817
#27-26,final_consensus,客观缓解率,,29,42,26,40,10.69,0.0,9646,432,10078
#27-27,gpt,客观缓解率,,45,48,40,48,3.3,0.0,3446,102,3548
#27-27,deepseek,客观缓解率,,45,48,40,48,4.12,0.0,3032,180,3212
#27-27,final_consensus,客观缓解率,,45,48,40,48,7.42,0.0,6478,282,6760
#27-28,gpt,客观缓解率,,44,66,44,72,5.48,0.0,3046,171,3217
#27-28,deepseek,客观缓解率,,44,66,44,72,7.78,0.0,2757,366,3123
#27-28,final_consensus,客观缓解率,,44,66,44,72,13.260000000000002,0.0,5803,537,6340
