id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#27-15,gpt,Objective Response Rate (total patients - PD),,28,35,26,35,5.03,0,2912,172,3084
#27-15,deepseek,Objective Response Rate,,28,35,26,35,5.31,0,2661,304,2965
#27-15,final_consensus,Objective Response Rate (total patients - PD),,28,35,26,35,10.34,0,5573,476,6049
#27-16,gpt,Objective Response Rate,,54,63,43,63,3.34,0,2671,130,2801
#27-16,deepseek,Objective Response Rate,,54,63,43,63,6.73,0,2457,347,2804
#27-16,final_consensus,Objective Response Rate,,54,63,43,63,10.07,0,5128,477,5605
#27-17,gpt,Objective Response Rate,,47,70,42,67,3.95,0,4843,134,4977
#27-17,deepseek,Objective Response Rate,,47,70,42,67,5.3,0,4497,194,4691
#27-17,final_consensus,Objective Response Rate,,47,70,42,67,9.25,0,9340,328,9668
#27-18,gpt,Objective Response Rate,,22,33,22,36,6.89,0,3332,241,3573
#27-18,deepseek,Objective Response Rate,,22,33,22,36,8.91,0,3029,599,3628
#27-18,final_consensus,Objective Response Rate,,22,33,22,36,15.8,0,6361,840,7201
#27-19,gpt,Objective Response Rate (ORR = total patients - PD),,35,43,29,42,3.72,0,4661,158,4819
#27-19,deepseek,Objective Response Rate (ORR),,35,43,29,42,3.3,0,4239,198,4437
#27-19,final_consensus,Objective Response Rate (ORR = total patients - PD),,35,43,29,42,7.02,0,8900,356,9256
#27-20,gpt,Objective Response Rate,,47,60,48,60,7.98,0,7052,551,7603
#27-20,deepseek,Objective Response Rate (Total patients - PD),,47,60,48,60,12.79,0,6444,575,7019
#27-20,final_consensus,Objective Response Rate,,47,60,48,60,20.77,0,13496,1126,14622
#27-21,gpt,Objective Response Rate,,50,63,39,63,3.72,0,3469,133,3602
#27-21,deepseek,Objective Response Rate,,50,63,39,63,6.68,0,3174,363,3537
#27-21,final_consensus,Objective Response Rate,,50,63,39,63,10.4,0,6643,496,7139
#27-22,gpt,Objective Response Rate (total patients - PD),,32,39,28,39,3.85,0,4216,128,4344
#27-22,deepseek,Objective Response Rate (ORR),,32,39,28,39,5.49,0,3837,304,4141
#27-22,final_consensus,Objective Response Rate (total patients - PD),,32,39,28,39,9.34,0,8053,432,8485
#27-23,gpt,Objective Response Rate (total patients − PD),,44,50,36,50,3.0,0,4276,132,4408
#27-23,deepseek,Objective Response Rate,,44,50,36,50,7.85,0,4011,582,4593
#27-23,final_consensus,Objective Response Rate (total patients − PD),,44,50,36,50,10.85,0,8287,714,9001
#27-24,gpt,Objective Response Rate,,82,99,70,101,4.0,0,4899,131,5030
#27-24,deepseek,Objective Response Rate,,82,99,70,101,6.33,0,4438,363,4801
#27-24,final_consensus,Objective Response Rate,,82,99,70,101,10.33,0,9337,494,9831
#27-25,gpt,Objective Response Rate,,28,35,27,35,4.05,0,2470,180,2650
#27-25,deepseek,Objective Response Rate,,28,35,27,35,5.26,0,2207,322,2529
#27-25,final_consensus,Objective Response Rate,,28,35,27,35,9.309999999999999,0,4677,502,5179
#27-26,gpt,Objective Response Rate (Total patients − PD),,29,42,26,40,3.68,0,4456,159,4615
#27-26,deepseek,Objective Response Rate,,29,42,26,40,7.75,0,3939,604,4543
#27-26,final_consensus,Objective Response Rate (Total patients − PD),,29,42,26,40,11.43,0,8395,763,9158
#27-27,gpt,Objective Response Rate (total patients - progressive disease),,45,48,40,48,4.91,0,2780,276,3056
#27-27,deepseek,Objective Response Rate,,45,48,40,48,7.76,0,2447,507,2954
#27-27,final_consensus,Objective Response Rate (total patients - progressive disease),,45,48,40,48,12.67,0,5227,783,6010
#27-28,gpt,Objective Response Rate,,44,66,44,72,4.25,0,2380,209,2589
#27-28,deepseek,Objective Response Rate,,44,66,44,72,9.39,0,2172,684,2856
#27-28,final_consensus,Objective Response Rate,,44,66,44,72,13.64,0,4552,893,5445
