id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#31-10,gpt,呕吐,,47,64,51,63,8.44,0,6633,406,7039
#31-10,deepseek,恶心呕吐,,47,64,51,63,15.11,0,6195,827,7022
#31-10,final_consensus,呕吐,,47,64,51,63,23.549999999999997,0,12828,1233,14061
#31-11,gpt,恶心呕吐,,5,16,8,18,3.98,0,3384,126,3510
#31-11,deepseek,恶心呕吐,,5,16,8,18,5.41,0,3058,311,3369
#31-11,final_consensus,恶心呕吐,,5,16,8,18,9.39,0,6442,437,6879
#31-12,gpt,恶心呕吐,,5,39,10,41,3.16,0,3608,105,3713
#31-12,deepseek,恶心呕吐,,5,39,10,41,9.25,0,3232,527,3759
#31-12,final_consensus,恶心呕吐,,5,39,10,41,12.41,0,6840,632,7472
#31-13,gpt,恶心和呕吐,,8,23,16,22,4.63,0,3941,207,4148
#31-13,deepseek,恶心呕吐,,8,23,16,22,13.22,0,3352,756,4108
#31-13,final_consensus,恶心和呕吐,,8,23,16,22,17.85,0,7293,963,8256
#31-14,gpt,恶心呕吐,,4,30,8,32,3.48,0,3147,140,3287
#31-14,deepseek,恶心呕吐,,4,30,8,32,6.4,0,2775,329,3104
#31-14,final_consensus,恶心呕吐,,4,30,8,32,9.88,0,5922,469,6391
#31-15,gpt,,,,,,,5.54,0,3605,269,3874
#31-15,deepseek,,,,,,,7.99,0,3170,292,3462
#31-15,final_consensus,,,,,,,13.530000000000001,0,6775,561,7336
#31-16,gpt,恶心呕吐,,12,32,25,30,3.49,0,2845,138,2983
#31-16,deepseek,恶心呕吐,,12,32,25,30,13.09,0,2563,777,3340
#31-16,final_consensus,恶心呕吐,,12,32,25,30,16.58,0,5408,915,6323
#31-17,gpt,呕吐恶心,,3,28,7,30,3.6,0,2936,123,3059
#31-17,deepseek,恶心呕吐,,3,28,7,30,5.46,0,2540,241,2781
#31-17,final_consensus,呕吐恶心,,3,28,7,30,9.06,0,5476,364,5840
#31-4,gpt,恶心、呕吐,,21,41,24,41,3.28,0,3093,137,3230
#31-4,deepseek,恶心呕吐,,21,41,24,41,9.07,0,2679,502,3181
#31-4,final_consensus,恶心、呕吐,,21,41,24,41,12.35,0,5772,639,6411
#31-5,gpt,恶心呕吐,,13,34,15,34,3.23,0,3892,103,3995
#31-5,deepseek,恶心呕吐,,13,34,15,34,4.24,0,3496,203,3699
#31-5,final_consensus,恶心呕吐,,13,34,15,34,7.470000000000001,0,7388,306,7694
#31-6,gpt,,,,,,,4.87,0,3693,257,3950
#31-6,deepseek,,,,,,,9.73,0,3218,577,3795
#31-6,final_consensus,,,,,,,14.600000000000001,0,6911,834,7745
#31-7,gpt,Nausea/vomiting,,8,50,13,50,4.09,0,4927,118,5045
#31-7,deepseek,恶心呕吐,,8,50,13,50,5.95,0,4542,343,4885
#31-7,final_consensus,Nausea/vomiting,,8,50,13,50,10.04,0,9469,461,9930
#31-8,gpt,恶心呕吐,,10,39,20,41,3.5,0,4266,108,4374
#31-8,deepseek,恶心呕吐,,10,39,20,41,7.57,0,3904,425,4329
#31-8,final_consensus,恶心呕吐,,10,39,20,41,11.07,0,8170,533,8703
#31-9,gpt,恶心呕吐,,6,36,13,36,3.33,0,3494,121,3615
#31-9,deepseek,恶心呕吐,,6,36,13,36,8.39,0,3034,354,3388
#31-9,final_consensus,恶心呕吐,,6,36,13,36,11.72,0,6528,475,7003
