id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#31-10,gpt,Urea nitrogen abnormality (kidney function impairment grade ≥1),,0,64,1,63,5.06,0,5953,239,6192
#31-10,deepseek,kidney function impairment,,0,64,1,63,8.35,0,5631,624,6255
#31-10,final_consensus,Urea nitrogen abnormality (kidney function impairment grade ≥1),,0,64,1,63,13.41,0,11584,863,12447
#31-11,gpt,kidney function impairment (grade ≥1),,1,16,2,18,3.57,0,2704,154,2858
#31-11,deepseek,kidney function impairment,,1,16,2,18,4.27,0,2494,252,2746
#31-11,final_consensus,kidney function impairment (grade ≥1),,1,16,2,18,7.84,0,5198,406,5604
#31-12,gpt,kidney function impairment (grade ≥1),,1,39,1,41,4.49,0,2928,155,3083
#31-12,deepseek,kidney function impairment,,1,39,1,41,9.98,0,2668,872,3540
#31-12,final_consensus,kidney function impairment (grade ≥1),,1,39,1,41,14.47,0,5596,1027,6623
#31-13,gpt,,,,,,,8.82,0,3261,541,3802
#31-13,deepseek,kidney function impairment,,,,,,8.5,0,2788,556,3344
#31-13,final_consensus,,,,,,,17.32,0,6049,1097,7146
#31-14,gpt,kidney function impairment,,1,30,1,32,4.21,0,2467,116,2583
#31-14,deepseek,kidney function impairment,,1,30,1,32,5.09,0,2211,432,2643
#31-14,final_consensus,kidney function impairment,,1,30,1,32,9.3,0,4678,548,5226
#31-15,gpt,kidney function impairment,,,,,,5.07,0,2925,263,3188
#31-15,deepseek,,,,,,,5.79,0,2606,328,2934
#31-15,final_consensus,kidney function impairment,,,,,,10.86,0,5531,591,6122
#31-16,gpt,"Kidney function impairment (BUN increase, grade ≥1)",,0,32,1,30,4.0,0,2165,181,2346
#31-16,deepseek,kidney function impairment,,0,32,1,30,9.22,0,1999,696,2695
#31-16,final_consensus,"Kidney function impairment (BUN increase, grade ≥1)",,0,32,1,30,13.22,0,4164,877,5041
#31-17,gpt,kidney function impairment,,1,28,1,30,3.21,0,2256,144,2400
#31-17,deepseek,kidney function impairment,,1,28,1,30,7.18,0,1976,426,2402
#31-17,final_consensus,kidney function impairment,,1,28,1,30,10.39,0,4232,570,4802
#31-4,gpt,kidney function impairment grade ≥1,,0,41,0,41,4.04,0,2413,167,2580
#31-4,deepseek,kidney function impairment,,0,41,0,41,4.99,0,2115,320,2435
#31-4,final_consensus,kidney function impairment grade ≥1,,0,41,0,41,9.030000000000001,0,4528,487,5015
#31-5,gpt,kidney function impairment,,,,,,4.84,0,3212,158,3370
#31-5,deepseek,,,,,,,5.18,0,2932,343,3275
#31-5,final_consensus,kidney function impairment,,,,,,10.02,0,6144,501,6645
#31-6,gpt,kidney function impairment,,,,,,4.01,0,3013,213,3226
#31-6,deepseek,,,,,,,7.15,0,2654,467,3121
#31-6,final_consensus,kidney function impairment,,,,,,11.16,0,5667,680,6347
#31-7,gpt,Impaired renal function (grade >=1),,1,50,2,50,4.13,0,4247,205,4452
#31-7,deepseek,Impaired renal function,,1,50,2,50,7.44,0,3978,468,4446
#31-7,final_consensus,Impaired renal function (grade >=1),,1,50,2,50,11.57,0,8225,673,8898
#31-8,gpt,Renal function injury (grade ≥1),,1,39,1,41,14.17,0,3586,139,3725
#31-8,deepseek,kidney function impairment,,1,39,1,41,8.11,0,3340,590,3930
#31-8,final_consensus,Renal function injury (grade ≥1),,1,39,1,41,22.28,0,6926,729,7655
#31-9,gpt,肾功能损害,,2,36,3,36,3.61,0,2814,117,2931
#31-9,deepseek,肾功能损害,,2,36,3,36,4.74,0,2470,313,2783
#31-9,final_consensus,肾功能损害,,2,36,3,36,8.35,0,5284,430,5714
