id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#323-14,gpt,,,,,,,,,3.63,0,4791,82,4873
#323-14,deepseek,,,,,,,,,2.88,0,4401,89,4490
#323-14,final_consensus,,,,,,,,,6.51,0,9192,171,9363
#323-15,gpt,,,,,,,,,2.54,0,3889,100,3989
#323-15,deepseek,,,,,,,,,3.38,0,3510,154,3664
#323-15,final_consensus,,,,,,,,,5.92,0,7399,254,7653
#323-16,gpt,疼痛VAS评分,,3.45,1.11,30,5.72,1.23,30,3.36,0,4814,131,4945
#323-16,deepseek,疼痛评分,,3.45,1.11,30,5.72,1.23,30,3.03,0,4342,175,4517
#323-16,final_consensus,疼痛VAS评分,,3.45,1.11,30,5.72,1.23,30,6.39,0,9156,306,9462
#323-17,gpt,,,,,,,,,2.61,0,3077,109,3186
#323-17,deepseek,,,,,,,,,3.47,0,2716,167,2883
#323-17,final_consensus,,,,,,,,,6.08,0,5793,276,6069
#323-18,gpt,,,,,,,,,2.2,0,3815,75,3890
#323-18,deepseek,,,,,,,,,2.33,0,3521,92,3613
#323-18,final_consensus,,,,,,,,,4.53,0,7336,167,7503
#323-19,gpt,,,,,,,,,2.4,0,2236,96,2332
#323-19,deepseek,,,,,,,,,2.31,0,1980,142,2122
#323-19,final_consensus,,,,,,,,,4.71,0,4216,238,4454
#323-20,gpt,,,,,,,,,2.04,0,2102,54,2156
#323-20,deepseek,,,,,,,,,2.1,0,1874,92,1966
#323-20,final_consensus,,,,,,,,,4.140000000000001,0,3976,146,4122
#323-21,gpt,,,,,,,,,2.02,0,2890,60,2950
#323-21,deepseek,,,,,,,,,4.71,0,2648,252,2900
#323-21,final_consensus,,,,,,,,,6.73,0,5538,312,5850
#323-22,gpt,,,,,,,,,2.54,0,2960,89,3049
#323-22,deepseek,,,,,,,,,2.76,0,2661,106,2767
#323-22,final_consensus,,,,,,,,,5.3,0,5621,195,5816
#323-23,gpt,VAS评分,,5.42,1.23,53,6.96,1.47,53,3.15,0,4044,145,4189
#323-23,deepseek,疼痛评分,,5.42,1.23,53,6.96,1.47,53,3.81,0,3618,213,3831
#323-23,final_consensus,VAS评分,,5.42,1.23,53,6.96,1.47,53,6.96,0,7662,358,8020
#323-24,gpt,,,,,,,,,3.63,0,2979,182,3161
#323-24,deepseek,,,,,,,,,2.92,0,2708,138,2846
#323-24,final_consensus,,,,,,,,,6.55,0,5687,320,6007
#323-25,gpt,,,,,,,,,2.82,0,3065,139,3204
#323-25,deepseek,,,,,,,,,2.14,0,2854,111,2965
#323-25,final_consensus,,,,,,,,,4.96,0,5919,250,6169
#323-26,gpt,VAS得分,,3.28,1.23,30,4.65,1.43,30,3.58,0,6716,125,6841
#323-26,deepseek,疼痛评分,,3.28,1.23,30,4.65,1.43,30,2.32,0,6029,131,6160
#323-26,final_consensus,VAS得分,,3.28,1.23,30,4.65,1.43,30,5.9,0,12745,256,13001
#323-27,gpt,,,,,,,,,3.13,0,3019,80,3099
#323-27,deepseek,,,,,,,,,2.3,0,2673,110,2783
#323-27,final_consensus,,,,,,,,,5.43,0,5692,190,5882
#323-28,gpt,,,,,,,,,2.62,0,3239,89,3328
#323-28,deepseek,,,,,,,,,2.81,0,2926,94,3020
#323-28,final_consensus,,,,,,,,,5.43,0,6165,183,6348
#323-29,gpt,疼痛评分,,3.79,1.37,40,4.78,1.49,40,2.94,0,3927,116,4043
#323-29,deepseek,疼痛评分,,3.79,1.37,40,4.78,1.49,40,3.61,0,3568,208,3776
#323-29,final_consensus,疼痛评分,,3.79,1.37,40,4.78,1.49,40,6.55,0,7495,324,7819
#323-30,gpt,VAS评分,,2.75,0.30,40,3.17,0.22,40,3.01,0,3758,132,3890
#323-30,deepseek,疼痛评分,,2.75,0.30,40,3.17,0.22,40,3.45,0,3412,230,3642
#323-30,final_consensus,VAS评分,,2.75,0.30,40,3.17,0.22,40,6.46,0,7170,362,7532
#323-31,gpt,,,,,,,,,2.72,0,3352,73,3425
#323-31,deepseek,,,,,,,,,1.56,0,3088,75,3163
#323-31,final_consensus,,,,,,,,,4.28,0,6440,148,6588
