id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#323-14,gpt,,,,,,,,,4.6,0.0,4184,182,4366
#323-14,deepseek,pain intensity,,,,44,,,44,8.61,0.0,3856,488,4344
#323-14,final_human_override,,,,,,,,,13.209999999999999,47.04,8040,670,8710
#323-15,gpt,pain intensity,,,,,,,,8.84,0.0,3282,551,3833
#323-15,deepseek,pain intensity,,,,51,,,51,5.92,0.0,2965,334,3299
#323-15,final_human_override,pain intensity,,,,,,,,14.76,52.64,6247,885,7132
#323-16,gpt,Pain intensity (VAS score) after intervention,,3.45,1.11,30,5.72,1.23,30,4.54,0.0,4207,134,4341
#323-16,deepseek,pain intensity (VAS),,3.45,1.11,30,5.72,1.23,30,3.45,0.0,3797,192,3989
#323-16,final_consensus,Pain intensity (VAS score) after intervention,,3.45,1.11,30,5.72,1.23,30,7.99,0.0,8004,326,8330
#323-17,gpt,,,,,,,,,4.72,0.0,2470,268,2738
#323-17,deepseek,pain intensity,,,,23,,,23,8.91,0.0,2171,489,2660
#323-17,final_human_override,,,,,,,,,13.629999999999999,34.09,4641,757,5398
#323-18,gpt,,,,,,,,,5.02,0.0,3208,232,3440
#323-18,deepseek,,,,,,,,,12.1,0.0,2976,807,3783
#323-18,final_consensus,,,,,,,,,17.119999999999997,0.0,6184,1039,7223
#323-19,gpt,pain intensity,,,,10,,,10,5.65,0.0,1629,189,1818
#323-19,deepseek,,,,,,,,,2.71,0.0,1435,106,1541
#323-19,final_human_override,,,,,,,,,8.36,18.72,3064,295,3359
#323-20,gpt,,,,,,,,,4.96,0.0,1495,131,1626
#323-20,deepseek,,,,,,,,,5.15,0.0,1329,299,1628
#323-20,final_consensus,,,,,,,,,10.11,0.0,2824,430,3254
#323-21,gpt,,,,,,,,,6.37,0.0,2283,304,2587
#323-21,deepseek,,,,,,,,,3.87,0.0,2103,221,2324
#323-21,final_consensus,,,,,,,,,10.24,0.0,4386,525,4911
#323-22,gpt,,,,,,,,,4.24,0.0,2353,192,2545
#323-22,deepseek,,,,,,,,,12.51,0.0,2116,884,3000
#323-22,final_consensus,,,,,,,,,16.75,0.0,4469,1076,5545
#323-23,gpt,VAS pain intensity after intervention,,5.42,1.23,53,6.96,1.47,53,4.79,0.0,3437,147,3584
#323-23,deepseek,VAS疼痛评分,,5.42,1.23,53,6.96,1.47,53,2.8,0.0,3073,169,3242
#323-23,final_consensus,VAS pain intensity after intervention,,5.42,1.23,53,6.96,1.47,53,7.59,0.0,6510,316,6826
#323-24,gpt,pain intensity,,,,31,,,26,14.95,0.0,2372,441,2813
#323-24,deepseek,pain intensity,,,,31,,,26,11.74,0.0,2163,767,2930
#323-24,final_consensus,pain intensity,,,,31,,,26,26.689999999999998,0.0,4535,1208,5743
#323-25,gpt,pain intensity,,,,,,,,9.44,0.0,2458,232,2690
#323-25,deepseek,pain intensity,,,,,,,,6.28,0.0,2309,381,2690
#323-25,final_consensus,pain intensity,,,,,,,,15.719999999999999,0.0,4767,613,5380
#323-26,gpt,VAS pain score after treatment,,3.28,1.23,30,4.65,1.43,30,3.85,0.0,6109,133,6242
#323-26,deepseek,VAS score,,3.28,1.23,30,4.65,1.43,30,14.69,0.0,5484,153,5637
#323-26,final_consensus,VAS pain score after treatment,,3.28,1.23,30,4.65,1.43,30,18.54,0.0,11593,286,11879
#323-27,gpt,pain intensity,,,,,,,,5.69,0.0,2412,326,2738
#323-27,deepseek,pain intensity,,,,,,,,2.96,0.0,2128,118,2246
#323-27,final_consensus,pain intensity,,,,,,,,8.65,0.0,4540,444,4984
#323-28,gpt,,,,,,,,,6.04,0.0,2632,295,2927
#323-28,deepseek,pain intensity,,,,,,,,6.21,0.0,2381,332,2713
#323-28,final_consensus,,,,,,,,,12.25,0.0,5013,627,5640
#323-29,gpt,NRS pain score,,3.79,1.37,40,4.78,1.49,40,5.09,0.0,3320,116,3436
#323-29,deepseek,pain intensity (NRS score),,3.79,1.37,40,4.78,1.49,40,3.8,0.0,3023,218,3241
#323-29,final_consensus,NRS pain score,,3.79,1.37,40,4.78,1.49,40,8.89,0.0,6343,334,6677
#323-30,gpt,Pain intensity (VAS) after intervention,,2.75,0.30,40,3.17,0.22,40,2.84,0.0,3151,127,3278
#323-30,deepseek,pain intensity (VAS),,2.75,0.30,40,3.17,0.22,40,4.36,0.0,2867,351,3218
#323-30,final_consensus,Pain intensity (VAS) after intervention,,2.75,0.30,40,3.17,0.22,40,7.2,0.0,6018,478,6496
#323-31,gpt,pain intensity,,,,,,,,3.83,0.0,2745,229,2974
#323-31,deepseek,pain intensity,,,,30,,,30,9.9,0.0,2543,646,3189
#323-31,final_human_override,pain intensity,,,,,,,,13.73,19.75,5288,875,6163
