id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#328-1,gpt,,,,,,,3.14,0.0,4204,66,4270
#328-1,deepseek,,,,,,,5.87,0.0,3809,177,3986
#328-1,final_consensus,,,,,,,9.01,0.0,8013,243,8256
#328-11,gpt,,,,,,,2.55,0.0,2658,60,2718
#328-11,deepseek,,,,,,,4.32,0.0,2432,225,2657
#328-11,final_consensus,,,,,,,6.87,0.0,5090,285,5375
#328-12,gpt,,,,,,,3.68,0.0,3754,72,3826
#328-12,deepseek,,,,,,,5.73,0.0,3429,334,3763
#328-12,final_consensus,,,,,,,9.41,0.0,7183,406,7589
#328-13,gpt,,,,,,,2.71,0.0,2885,67,2952
#328-13,deepseek,,,,,,,3.41,0.0,2612,152,2764
#328-13,final_consensus,,,,,,,6.12,0.0,5497,219,5716
#328-14,gpt,,,,,,,1.86,0.0,4108,53,4161
#328-14,deepseek,,,,,,,5.1,0.0,3782,282,4064
#328-14,final_consensus,,,,,,,6.96,0.0,7890,335,8225
#328-15,gpt,,,,,,,6.13,0.0,3182,299,3481
#328-15,deepseek,,,,,,,8.13,0.0,2870,313,3183
#328-15,final_consensus,,,,,,,14.260000000000002,0.0,6052,612,6664
#328-16,gpt,,,,,,,2.76,0.0,3854,70,3924
#328-16,deepseek,,,,,,,3.15,0.0,3406,99,3505
#328-16,final_consensus,,,,,,,5.91,0.0,7260,169,7429
#328-17,gpt,,,,,,,1.71,0.0,3402,54,3456
#328-17,deepseek,,,,,,,5.6,0.0,3064,258,3322
#328-17,final_consensus,,,,,,,7.31,0.0,6466,312,6778
#328-18,gpt,,,,,,,2.63,0.0,3114,68,3182
#328-18,deepseek,,,,,,,6.87,0.0,2759,334,3093
#328-18,final_consensus,,,,,,,9.5,0.0,5873,402,6275
#328-19,gpt,1年生存率,,33,62,30,62,3.56,0.0,2380,83,2463
#328-19,deepseek,1年生存率,,33,62,30,62,2.82,0.0,2073,124,2197
#328-19,final_consensus,1年生存率,,33,62,30,62,6.38,0.0,4453,207,4660
#328-2,gpt,,,,,,,2.18,0.0,3007,61,3068
#328-2,deepseek,,,,,,,5.02,0.0,2770,222,2992
#328-2,final_consensus,,,,,,,7.199999999999999,0.0,5777,283,6060
#328-20,gpt,,,,,,,3.63,0.0,2796,62,2858
#328-20,deepseek,,,,,,,2.51,0.0,2533,80,2613
#328-20,final_consensus,,,,,,,6.14,0.0,5329,142,5471
#328-21,gpt,,,,,,,2.58,0.0,4427,72,4499
#328-21,deepseek,,,,,,,3.42,0.0,3935,112,4047
#328-21,final_consensus,,,,,,,6.0,0.0,8362,184,8546
#328-22,gpt,,,,,,,2.57,0.0,3547,65,3612
#328-22,deepseek,,,,,,,3.32,0.0,3203,65,3268
#328-22,final_consensus,,,,,,,5.89,0.0,6750,130,6880
#328-23,gpt,,,,,,,3.64,0.0,4799,155,4954
#328-23,deepseek,,,,,,,10.28,0.0,4345,605,4950
#328-23,final_consensus,,,,,,,13.92,0.0,9144,760,9904
#328-24,gpt,,,,,,,3.33,0.0,4967,67,5034
#328-24,deepseek,,,,,,,4.44,0.0,4423,213,4636
#328-24,final_consensus,,,,,,,7.7700000000000005,0.0,9390,280,9670
#328-25,gpt,1年生存率,,12,25,9,26,4.19,0.0,2260,100,2360
#328-25,deepseek,1年生存率,,12,25,9,26,2.98,0.0,2028,140,2168
#328-25,final_consensus,1年生存率,,12,25,9,26,7.17,0.0,4288,240,4528
#328-26,gpt,,,,,,,2.22,0.0,2973,56,3029
#328-26,deepseek,,,,,,,6.46,0.0,2633,359,2992
#328-26,final_consensus,,,,,,,8.68,0.0,5606,415,6021
#328-27,gpt,1年生存率,,26,50,25,50,10.37,0.0,3301,553,3854
#328-27,deepseek,,,,,,,8.7,0.0,2901,346,3247
#328-27,final_human_override,1年生存率,,26,50,25,50,19.07,125.68,6202,899,7101
#328-3,gpt,1年生存率,,18,30,9,30,4.13,0.0,3884,92,3976
#328-3,deepseek,1年生存率,,18,30,9,30,5.68,0.0,3546,157,3703
#328-3,final_consensus,1年生存率,,18,30,9,30,9.809999999999999,0.0,7430,249,7679
#328-4,gpt,,,,,,,4.55,0.0,3779,64,3843
#328-4,deepseek,,,,,,,4.94,0.0,3470,220,3690
#328-4,final_consensus,,,,,,,9.49,0.0,7249,284,7533
#328-5,gpt,,,,,,,2.12,0.0,5450,62,5512
#328-5,deepseek,,,,,,,3.22,0.0,4915,95,5010
#328-5,final_consensus,,,,,,,5.34,0.0,10365,157,10522
#328-6,gpt,,,,,,,3.06,0.0,3721,58,3779
#328-6,deepseek,,,,,,,3.23,0.0,3366,92,3458
#328-6,final_consensus,,,,,,,6.29,0.0,7087,150,7237
#328-7,gpt,,,,,,,2.19,0.0,3049,63,3112
#328-7,deepseek,,,,,,,4.24,0.0,2711,153,2864
#328-7,final_consensus,,,,,,,6.43,0.0,5760,216,5976
#328-8,gpt,,,,,,,2.47,0.0,3515,81,3596
#328-8,deepseek,,,,,,,3.87,0.0,3077,163,3240
#328-8,final_consensus,,,,,,,6.34,0.0,6592,244,6836
#328-9,gpt,,,,,,,1.96,0.0,2201,49,2250
#328-9,deepseek,,,,,,,4.57,0.0,1963,92,2055
#328-9,final_consensus,,,,,,,6.53,0.0,4164,141,4305
