id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#328-1,gpt,脱发,,1,49,4,49,4.07,0,4316,94,4410
#328-1,deepseek,脱发,,1,49,4,49,7.18,0,3914,323,4237
#328-1,final_consensus,脱发,,1,49,4,49,11.25,0,8230,417,8647
#328-11,gpt,,,,,,,3.48,0,2770,65,2835
#328-11,deepseek,,,,,,,4.01,0,2537,92,2629
#328-11,final_consensus,,,,,,,7.49,0,5307,157,5464
#328-12,gpt,,,,,,,3.63,0,3866,68,3934
#328-12,deepseek,,,,,,,2.84,0,3534,73,3607
#328-12,final_consensus,,,,,,,6.47,0,7400,141,7541
#328-13,gpt,,,,,,,2.08,0,2997,55,3052
#328-13,deepseek,,,,,,,3.12,0,2717,103,2820
#328-13,final_consensus,,,,,,,5.2,0,5714,158,5872
#328-14,gpt,Alopecia,,1,39,2,41,3.08,0,4220,109,4329
#328-14,deepseek,脱发,,1,39,2,41,5.91,0,3887,385,4272
#328-14,final_consensus,Alopecia,,1,39,2,41,8.99,0,8107,494,8601
#328-15,gpt,,,,,,,2.79,0,3294,58,3352
#328-15,deepseek,,,,,,,2.96,0,2975,88,3063
#328-15,final_consensus,,,,,,,5.75,0,6269,146,6415
#328-16,gpt,,,,,,,2.7,0,3966,60,4026
#328-16,deepseek,,,,,,,2.41,0,3511,75,3586
#328-16,final_consensus,,,,,,,5.11,0,7477,135,7612
#328-17,gpt,,,,,,,2.14,0,3514,57,3571
#328-17,deepseek,,,,,,,4.34,0,3169,191,3360
#328-17,final_consensus,,,,,,,6.48,0,6683,248,6931
#328-18,gpt,,,,,,,2.59,0,3226,73,3299
#328-18,deepseek,,,,,,,5.23,0,2864,318,3182
#328-18,final_consensus,,,,,,,7.82,0,6090,391,6481
#328-19,gpt,,,,,,,3.79,0,2492,62,2554
#328-19,deepseek,,,,,,,2.79,0,2178,114,2292
#328-19,final_consensus,,,,,,,6.58,0,4670,176,4846
#328-2,gpt,脱发,,0,32,0,30,5.99,0,3119,95,3214
#328-2,deepseek,脱发,,0,32,0,30,6.05,0,2875,310,3185
#328-2,final_consensus,脱发,,0,32,0,30,12.04,0,5994,405,6399
#328-20,gpt,,,,,,,3.77,0,2908,58,2966
#328-20,deepseek,,,,,,,2.35,0,2638,59,2697
#328-20,final_consensus,,,,,,,6.12,0,5546,117,5663
#328-21,gpt,,,,,,,2.71,0,4539,71,4610
#328-21,deepseek,,,,,,,6.89,0,4040,350,4390
#328-21,final_consensus,,,,,,,9.6,0,8579,421,9000
#328-22,gpt,,,,,,,3.37,0,3659,57,3716
#328-22,deepseek,,,,,,,5.06,0,3308,296,3604
#328-22,final_consensus,,,,,,,8.43,0,6967,353,7320
#328-23,gpt,脱发,,0,39,0,39,4.12,0,4911,117,5028
#328-23,deepseek,脱发,,0,39,0,39,4.14,0,4450,181,4631
#328-23,final_consensus,脱发,,0,39,0,39,8.26,0,9361,298,9659
#328-24,gpt,,,,,,,3.3,0,5079,101,5180
#328-24,deepseek,,,,,,,8.23,0,4528,490,5018
#328-24,final_consensus,,,,,,,11.530000000000001,0,9607,591,10198
#328-25,gpt,,,,,,,3.21,0,2372,82,2454
#328-25,deepseek,,,,,,,2.25,0,2133,71,2204
#328-25,final_consensus,,,,,,,5.46,0,4505,153,4658
#328-26,gpt,,,,,,,2.17,0,3085,57,3142
#328-26,deepseek,,,,,,,4.79,0,2738,267,3005
#328-26,final_consensus,,,,,,,6.96,0,5823,324,6147
#328-27,gpt,,,,,,,2.29,0,3413,57,3470
#328-27,deepseek,,,,,,,3.6,0,3006,152,3158
#328-27,final_consensus,,,,,,,5.890000000000001,0,6419,209,6628
#328-3,gpt,,,,,,,3.24,0,3996,66,4062
#328-3,deepseek,,,,,,,5.69,0,3651,302,3953
#328-3,final_consensus,,,,,,,8.93,0,7647,368,8015
#328-4,gpt,,,,,,,9.79,0,3891,69,3960
#328-4,deepseek,,,,,,,3.5,0,3575,81,3656
#328-4,final_consensus,,,,,,,13.29,0,7466,150,7616
#328-5,gpt,,,,,,,3.62,0,5562,62,5624
#328-5,deepseek,,,,,,,4.12,0,5020,174,5194
#328-5,final_consensus,,,,,,,7.74,0,10582,236,10818
#328-6,gpt,,,,,,,2.52,0,3833,65,3898
#328-6,deepseek,,,,,,,4.14,0,3471,202,3673
#328-6,final_consensus,,,,,,,6.66,0,7304,267,7571
#328-7,gpt,,,,,,,4.78,0,3161,64,3225
#328-7,deepseek,,,,,,,2.37,0,2816,79,2895
#328-7,final_consensus,,,,,,,7.15,0,5977,143,6120
#328-8,gpt,,,,,,,2.32,0,3627,65,3692
#328-8,deepseek,,,,,,,3.85,0,3182,222,3404
#328-8,final_consensus,,,,,,,6.17,0,6809,287,7096
#328-9,gpt,,,,,,,2.37,0,2313,61,2374
#328-9,deepseek,,,,,,,2.48,0,2068,81,2149
#328-9,final_consensus,,,,,,,4.85,0,4381,142,4523
