id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#328-1,gpt,alopecia grade III-IV,,1,49,4,49,4.4,0,3639,94,3733
#328-1,deepseek,alopecia,,1,49,4,49,5.8,0,3323,292,3615
#328-1,final_consensus,alopecia grade III-IV,,1,49,4,49,10.2,0,6962,386,7348
#328-11,gpt,alopecia >= grade 3,,,,,,3.33,0,2093,87,2180
#328-11,deepseek,alopecia,,,,,,7.47,0,1946,520,2466
#328-11,final_consensus,alopecia >= grade 3,,,,,,10.8,0,4039,607,4646
#328-12,gpt,alopecia grade ≥3,,,,,,3.91,0,3189,101,3290
#328-12,deepseek,,,,,,,5.86,0,2943,392,3335
#328-12,final_consensus,alopecia grade ≥3,,,,,,9.77,0,6132,493,6625
#328-13,gpt,alopecia,,,,,,4.33,0,2320,94,2414
#328-13,deepseek,alopecia,,,,,,7.53,0,2126,456,2582
#328-13,final_consensus,alopecia,,,,,,11.86,0,4446,550,4996
#328-14,gpt,alopecia grade ≥3,,1,39,2,41,4.73,0,3543,107,3650
#328-14,deepseek,alopecia,,1,39,2,41,6.07,0,3296,351,3647
#328-14,final_consensus,alopecia grade ≥3,,1,39,2,41,10.8,0,6839,458,7297
#328-15,gpt,alopecia grade >=3,,,,,,3.63,0,2617,84,2701
#328-15,deepseek,alopecia,,,,,,8.85,0,2384,527,2911
#328-15,final_consensus,alopecia grade >=3,,,,,,12.48,0,5001,611,5612
#328-16,gpt,alopecia,,,,,,4.22,0,3289,85,3374
#328-16,deepseek,,,,,,,4.38,0,2920,139,3059
#328-16,final_consensus,alopecia,,,,,,8.6,0,6209,224,6433
#328-17,gpt,alopecia,,,,,,6.28,0,2837,328,3165
#328-17,deepseek,,,,,,,8.87,0,2578,396,2974
#328-17,final_consensus,alopecia,,,,,,15.149999999999999,0,5415,724,6139
#328-18,gpt,alopecia,,,,,,4.5,0,2549,158,2707
#328-18,deepseek,,,,,,,6.55,0,2273,350,2623
#328-18,final_consensus,alopecia,,,,,,11.05,0,4822,508,5330
#328-19,gpt,alopecia (grade >=3),,,,,,4.24,0,1815,130,1945
#328-19,deepseek,alopecia,,,,,,6.15,0,1587,317,1904
#328-19,final_consensus,alopecia (grade >=3),,,,,,10.39,0,3402,447,3849
#328-2,gpt,alopecia grade >=3,,0,32,0,30,5.19,0,2442,149,2591
#328-2,deepseek,alopecia,,0,32,0,30,7.17,0,2284,397,2681
#328-2,final_consensus,alopecia grade >=3,,0,32,0,30,12.36,0,4726,546,5272
#328-20,gpt,alopecia,,,,,,8.48,0,2231,102,2333
#328-20,deepseek,alopecia,,,,,,6.8,0,2047,310,2357
#328-20,final_consensus,alopecia,,,,,,15.280000000000001,0,4278,412,4690
#328-21,gpt,alopecia (grade >=3),,,,,,5.61,0,3862,190,4052
#328-21,deepseek,,,,,,,9.49,0,3449,428,3877
#328-21,final_consensus,alopecia (grade >=3),,,,,,15.100000000000001,0,7311,618,7929
#328-22,gpt,alopecia >= grade 3,,,,,,4.16,0,2982,82,3064
