id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#335-15,gpt,Disease Control Rate (DCR),,24,30,20,30,3.48,0.0,3084,99,3183
#335-15,deepseek,Disease Control Rate (DCR),,24,30,20,30,3.43,0.0,2781,137,2918
#335-15,final_consensus,Disease Control Rate (DCR),,24,30,20,30,6.91,0.0,5865,236,6101
#335-16,gpt,Disease Control Rate (CR+PR+SD),,27,44,27,44,2.53,0.0,4023,107,4130
#335-16,deepseek,Disease Control Rate (CR+PR+SD),,27,44,27,44,4.48,0.0,3669,196,3865
#335-16,final_consensus,Disease Control Rate (CR+PR+SD),,27,44,27,44,7.01,0.0,7692,303,7995
#335-17,gpt,Disease Control Rate (DCR),,39,51,37,51,2.46,0.0,3293,101,3394
#335-17,deepseek,Disease Control Rate,,39,51,37,51,3.82,0.0,2959,288,3247
#335-17,final_consensus,Disease Control Rate (DCR),,39,51,37,51,6.279999999999999,0.0,6252,389,6641
#335-18,gpt,Disease Control Rate (CR+PR+SD),,22,28,23,27,2.43,0.0,1717,108,1825
#335-18,deepseek,Disease Control Rate,,22,28,23,27,4.2,0.0,1585,244,1829
#335-18,final_consensus,Disease Control Rate (CR+PR+SD),,22,28,23,27,6.630000000000001,0.0,3302,352,3654
#335-19,gpt,Disease Control Rate (CR+PR+SD),,11,12,8,12,3.07,0.0,3271,137,3408
#335-19,deepseek,Disease Control Rate,,11,12,8,12,5.93,0.0,3011,266,3277
#335-19,final_consensus,Disease Control Rate (CR+PR+SD),,11,12,8,12,9.0,0.0,6282,403,6685
#335-20,gpt,Disease Control Rate (CR+PR+SD),,48,54,33,54,4.51,0.0,2249,137,2386
#335-20,deepseek,Disease Control Rate,,48,54,33,54,5.28,0.0,1939,375,2314
#335-20,final_consensus,Disease Control Rate (CR+PR+SD),,48,54,33,54,9.79,0.0,4188,512,4700
#335-21,gpt,Disease Control Rate (CR+PR+SD),,28,35,27,35,3.05,0.0,2484,98,2582
#335-21,deepseek,Disease Control Rate,,28,35,27,35,3.33,0.0,2222,238,2460
#335-21,final_consensus,Disease Control Rate (CR+PR+SD),,28,35,27,35,6.38,0.0,4706,336,5042
#335-22,gpt,Disease Control Rate (CR+PR+SD),,24,31,21,31,3.25,0.0,3503,123,3626
#335-22,deepseek,Disease Control Rate,,24,31,21,31,5.27,0.0,3181,451,3632
#335-22,final_consensus,Disease Control Rate (CR+PR+SD),,24,31,21,31,8.52,0.0,6684,574,7258
#335-23,gpt,Disease Control Rate (CR+PR+SD),,25,41,25,41,3.77,0.0,3981,105,4086
#335-23,deepseek,Disease Control Rate (DCR),,25,41,25,41,3.69,0.0,3573,237,3810
#335-23,final_consensus,Disease Control Rate (CR+PR+SD),,25,41,25,41,7.46,0.0,7554,342,7896
#335-24,gpt,Disease Control Rate (DCR = CR + PR + SD),,28,38,29,40,3.57,0.0,3196,146,3342
#335-24,deepseek,Disease Control Rate (DCR),,28,38,29,40,3.8,0.0,2910,262,3172
#335-24,final_consensus,Disease Control Rate (DCR = CR + PR + SD),,28,38,29,40,7.369999999999999,0.0,6106,408,6514
#335-25,gpt,Disease Control Rate (CR+PR+SD),,34,39,25,39,3.08,0.0,2796,122,2918
#335-25,deepseek,Disease Control Rate,,34,39,25,39,2.98,0.0,2564,160,2724
#335-25,final_consensus,Disease Control Rate (CR+PR+SD),,34,39,25,39,6.0600000000000005,0.0,5360,282,5642
#335-26,gpt,Disease Control Rate (DCR),,36,40,31,40,2.55,0.0,3817,103,3920
#335-26,deepseek,Disease Control Rate,,36,40,31,40,3.97,0.0,3528,278,3806
#335-26,final_consensus,Disease Control Rate (DCR),,36,40,31,40,6.52,0.0,7345,381,7726
#335-27,gpt,Disease Control Rate (CR+PR+SD),,18,23,15,20,2.8,0.0,2249,105,2354
#335-27,deepseek,DCR,,18,23,15,20,4.41,0.0,2086,292,2378
#335-27,final_consensus,Disease Control Rate (CR+PR+SD),,18,23,15,20,7.21,0.0,4335,397,4732
#335-28,gpt,Disease Control Rate (DCR),,54,63,43,63,2.35,0.0,2684,85,2769
#335-28,deepseek,Disease Control Rate (DCR),,54,63,43,63,3.78,0.0,2472,266,2738
#335-28,final_consensus,Disease Control Rate (DCR),,54,63,43,63,6.13,0.0,5156,351,5507
#335-29,gpt,Disease Control Rate (CR+PR+SD),,28,35,26,35,2.46,0.0,2920,92,3012
#335-29,deepseek,Disease Control Rate,,28,35,26,35,3.9,0.0,2673,281,2954
#335-29,final_consensus,Disease Control Rate (CR+PR+SD),,28,35,26,35,6.359999999999999,0.0,5593,373,5966
#335-30,gpt,Disease Control Rate (CR+PR+SD),,47,55,44,55,2.76,0.0,2614,108,2722
#335-30,deepseek,Disease Control Rate,,47,55,44,55,4.03,0.0,2385,277,2662
#335-30,final_consensus,Disease Control Rate (CR+PR+SD),,47,55,44,55,6.79,0.0,4999,385,5384
#335-31,gpt,Disease Control Rate (DCR),,36,43,28,43,2.73,0.0,3291,118,3409
#335-31,deepseek,Disease Control Rate (DCR),,36,43,28,43,4.04,0.0,2919,310,3229
#335-31,final_consensus,Disease Control Rate (DCR),,36,43,28,43,6.77,0.0,6210,428,6638
#335-32,gpt,Disease Control Rate (CR+PR+SD),,29,42,26,40,2.5,0.0,4020,110,4130
#335-32,deepseek,Disease Control Rate (CR+PR+SD),,29,42,26,40,3.17,0.0,3645,165,3810
#335-32,final_consensus,Disease Control Rate (CR+PR+SD),,29,42,26,40,5.67,0.0,7665,275,7940
#335-33,gpt,Disease Control Rate (CR+PR+SD),,41,47,37,47,3.5,0.0,2367,98,2465
#335-33,deepseek,Disease Control Rate,,41,47,37,47,4.91,0.0,2175,344,2519
#335-33,final_consensus,Disease Control Rate (CR+PR+SD),,41,47,37,47,8.41,0.0,4542,442,4984
#335-34,gpt,Disease Control Rate (CR+PR+SD),,27,35,26,35,2.77,0.0,4366,99,4465
#335-34,deepseek,Disease Control Rate,,27,35,26,35,3.04,0.0,3813,167,3980
#335-34,final_consensus,Disease Control Rate (CR+PR+SD),,27,35,26,35,5.8100000000000005,0.0,8179,266,8445
#335-35,gpt,Disease Control Rate (DCR),,,,,,6.79,0.0,2132,238,2370
#335-35,deepseek,Disease Control Rate (DCR),,,42,,42,11.67,0.0,1910,793,2703
