id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#335-15,gpt,,,,,,,4.99,0.0,3097,206,3303
#335-15,deepseek,,,,,,,10.41,0.0,2793,761,3554
#335-15,final_consensus,,,,,,,15.4,0.0,5890,967,6857
#335-16,gpt,chemotherapy-induced nausea and vomiting,,,,,,6.02,0.0,4036,122,4158
#335-16,deepseek,,,,,,,4.59,0.0,3681,213,3894
#335-16,final_consensus,chemotherapy-induced nausea and vomiting,,,,,,10.61,0.0,7717,335,8052
#335-17,gpt,chemotherapy-induced nausea and vomiting,,,,,,5.07,0.0,3306,192,3498
#335-17,deepseek,,,,,,,8.5,0.0,2971,469,3440
#335-17,final_consensus,chemotherapy-induced nausea and vomiting,,,,,,13.57,0.0,6277,661,6938
#335-18,gpt,,,,,,,6.44,0.0,1730,243,1973
#335-18,deepseek,,,,,,,5.95,0.0,1597,333,1930
#335-18,final_consensus,,,,,,,12.39,0.0,3327,576,3903
#335-19,gpt,chemotherapy-induced nausea and vomiting (grade ≥1),,6,12,10,12,4.3,0.0,3284,154,3438
#335-19,deepseek,chemotherapy-induced nausea and vomiting,,6,12,10,12,4.67,0.0,3023,336,3359
#335-19,final_consensus,chemotherapy-induced nausea and vomiting (grade ≥1),,6,12,10,12,8.969999999999999,0.0,6307,490,6797
#335-20,gpt,chemotherapy-induced nausea and vomiting,,,,,,5.92,0.0,2262,251,2513
#335-20,deepseek,,,,,,,5.69,0.0,1951,307,2258
#335-20,final_consensus,chemotherapy-induced nausea and vomiting,,,,,,11.61,0.0,4213,558,4771
#335-21,gpt,chemotherapy-induced nausea and vomiting,,,,,,10.97,0.0,2497,548,3045
#335-21,deepseek,chemotherapy-induced nausea and vomiting,,14,35,26,35,7.63,0.0,2234,487,2721
#335-21,final_human_override,chemotherapy-induced nausea and vomiting,,,,,,18.6,46.57,4731,1035,5766
#335-22,gpt,chemotherapy-induced nausea and vomiting,,13,31,27,31,4.03,0.0,3516,109,3625
#335-22,deepseek,chemotherapy-induced nausea and vomiting,,13,31,27,31,5.14,0.0,3193,266,3459
#335-22,final_consensus,chemotherapy-induced nausea and vomiting,,13,31,27,31,9.17,0.0,6709,375,7084
#335-23,gpt,chemotherapy-induced nausea and vomiting,,,,,,6.98,0.0,3994,301,4295
#335-23,deepseek,chemotherapy-induced nausea and vomiting,,0,41,0,41,6.17,0.0,3585,343,3928
#335-23,final_human_override,chemotherapy-induced nausea and vomiting,,,,,,13.15,48.74,7579,644,8223
#335-24,gpt,,,,,,,4.37,0.0,3209,118,3327
#335-24,deepseek,,,,,,,5.89,0.0,2922,320,3242
#335-24,final_consensus,,,,,,,10.26,0.0,6131,438,6569
#335-25,gpt,,,,,,,9.69,0.0,2809,179,2988
#335-25,deepseek,,,,,,,5.66,0.0,2576,303,2879
#335-25,final_consensus,,,,,,,15.35,0.0,5385,482,5867
#335-26,gpt,chemotherapy-induced nausea and vomiting (消化道反应),,6,40,17,40,12.65,0.0,3830,561,4391
#335-26,deepseek,,,,,,,9.05,0.0,3540,675,4215
#335-26,final_human_override,,,,,,,21.700000000000003,53.34,7370,1236,8606
#335-27,gpt,,,,,,,9.81,0.0,2262,436,2698
#335-27,deepseek,,,,,,,8.91,0.0,2098,643,2741
#335-27,final_consensus,,,,,,,18.72,0.0,4360,1079,5439
#335-28,gpt,,,,,,,5.73,0.0,2697,137,2834
#335-28,deepseek,chemotherapy-induced nausea and vomiting,,,,,,5.84,0.0,2484,318,2802
#335-28,final_consensus,,,,,,,11.57,0.0,5181,455,5636
#335-29,gpt,chemotherapy-induced nausea and vomiting >= grade 1,,17,35,24,35,4.09,0.0,2933,114,3047
#335-29,deepseek,chemotherapy-induced nausea and vomiting,,17,35,24,35,5.95,0.0,2685,404,3089
#335-29,final_consensus,chemotherapy-induced nausea and vomiting >= grade 1,,17,35,24,35,10.04,0.0,5618,518,6136
#335-30,gpt,,,,,,,4.05,0.0,2627,99,2726
