id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#347-10,gpt,生活质量,,30,49,22,49,4.15,0.0,4341,124,4465
#347-10,deepseek,生活质量,,30,49,22,49,5.38,0.0,3956,302,4258
#347-10,final_consensus,生活质量,,30,49,22,49,9.530000000000001,0.0,8297,426,8723
#347-11,gpt,,,,,,,3.71,0.0,4724,94,4818
#347-11,deepseek,,,,,,,3.99,0.0,4340,140,4480
#347-11,final_consensus,,,,,,,7.7,0.0,9064,234,9298
#347-12,gpt,,,,,,,2.56,0.0,3596,58,3654
#347-12,deepseek,,,,,,,2.97,0.0,3248,128,3376
#347-12,final_consensus,,,,,,,5.53,0.0,6844,186,7030
#347-13,gpt,,,,,,,1.76,0.0,3868,66,3934
#347-13,deepseek,,,,,,,3.24,0.0,3490,78,3568
#347-13,final_consensus,,,,,,,5.0,0.0,7358,144,7502
#347-14,gpt,,,,,,,1.77,0.0,2375,58,2433
#347-14,deepseek,,,,,,,2.41,0.0,2131,101,2232
#347-14,final_consensus,,,,,,,4.18,0.0,4506,159,4665
#347-15,gpt,生活质量,,16,35,6,30,7.76,0.0,4098,455,4553
#347-15,deepseek,生活质量,,16,35,6,30,8.96,0.0,3772,656,4428
#347-15,final_consensus,生活质量,,16,35,6,30,16.72,0.0,7870,1111,8981
#347-16,gpt,,,,,,,2.82,0.0,7667,81,7748
#347-16,deepseek,,,,,,,3.94,0.0,7000,180,7180
#347-16,final_consensus,,,,,,,6.76,0.0,14667,261,14928
#347-17,gpt,生活质量,,50,99,38,101,3.18,0.0,5485,167,5652
#347-17,deepseek,生活质量,,50,99,38,101,2.29,0.0,4966,93,5059
#347-17,final_consensus,生活质量,,50,99,38,101,5.470000000000001,0.0,10451,260,10711
#347-18,gpt,,,,,,,1.88,0.0,3983,67,4050
#347-18,deepseek,,,,,,,3.21,0.0,3662,132,3794
#347-18,final_consensus,,,,,,,5.09,0.0,7645,199,7844
#347-19,gpt,,,,,,,2.08,0.0,4616,72,4688
#347-19,deepseek,,,,,,,3.67,0.0,4146,227,4373
#347-19,final_consensus,,,,,,,5.75,0.0,8762,299,9061
#347-20,gpt,生活质量,,16,23,7,20,10.13,0.0,2849,550,3399
#347-20,deepseek,生活质量,,16,23,7,20,3.96,0.0,2625,176,2801
#347-20,final_consensus,生活质量,,16,23,7,20,14.09,0.0,5474,726,6200
#347-21,gpt,生活质量,,27,43,17,43,2.19,0.0,3950,84,4034
#347-21,deepseek,生活质量,,27,43,17,43,2.92,0.0,3519,150,3669
#347-21,final_consensus,生活质量,,27,43,17,43,5.109999999999999,0.0,7469,234,7703
#347-22,gpt,生活质量,,17,34,13,35,2.64,0.0,4520,119,4639
#347-22,deepseek,生活质量,,17,34,13,35,4.29,0.0,4172,213,4385
#347-22,final_consensus,生活质量,,17,34,13,35,6.93,0.0,8692,332,9024
#347-23,gpt,生活质量,,30,63,23,63,2.66,0.0,3259,118,3377
#347-23,deepseek,生活质量,,30,63,23,63,3.33,0.0,2986,195,3181
#347-23,final_consensus,生活质量,,30,63,23,63,5.99,0.0,6245,313,6558
#347-24,gpt,,,,,,,2.14,0.0,4620,87,4707
#347-24,deepseek,,,,,,,2.65,0.0,4185,118,4303
#347-24,final_consensus,,,,,,,4.79,0.0,8805,205,9010
#347-25,gpt,生活质量,,41,62,30,62,2.25,0.0,2292,78,2370
#347-25,deepseek,生活质量,,41,62,30,62,3.33,0.0,2052,174,2226
#347-25,final_consensus,生活质量,,41,62,30,62,5.58,0.0,4344,252,4596
