id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#347-10,gpt,leukopenia,,,,,,4.03,0.0,3746,167,3913
#347-10,deepseek,,,,,,,10.45,0.0,3417,575,3992
#347-10,final_consensus,leukopenia,,,,,,14.48,0.0,7163,742,7905
#347-11,gpt,leukopenia,,,,,,3.4,0.0,4129,115,4244
#347-11,deepseek,,,,,,,5.3,0.0,3801,279,4080
#347-11,final_consensus,leukopenia,,,,,,8.7,0.0,7930,394,8324
#347-12,gpt,leukopenia,,,,,,4.5,0.0,3001,196,3197
#347-12,deepseek,leukopenia,,,30,,30,7.33,0.0,2709,548,3257
#347-12,final_human_override,,,,,,,11.83,53.17,5710,744,6454
#347-13,gpt,leukopenia,,15,51,18,51,4.72,0.0,3273,165,3438
#347-13,deepseek,leukopenia,,15,51,18,51,5.53,0.0,2951,248,3199
#347-13,final_consensus,leukopenia,,15,51,18,51,10.25,0.0,6224,413,6637
#347-14,gpt,leukopenia,,,,,,5.73,0.0,1780,221,2001
#347-14,deepseek,leukopenia,,,41,,41,9.0,0.0,1592,448,2040
#347-14,final_human_override,leukopenia,,,,,,14.73,36.99,3372,669,4041
#347-15,gpt,leukopenia,,23,35,25,30,3.67,0.0,3503,118,3621
#347-15,deepseek,leukopenia,,23,35,25,30,5.66,0.0,3233,304,3537
#347-15,final_consensus,leukopenia,,23,35,25,30,9.33,0.0,6736,422,7158
#347-16,gpt,leukopenia,,11,60,19,60,4.78,0.0,7072,171,7243
#347-16,deepseek,leukopenia,,11,60,19,60,7.78,0.0,6461,605,7066
#347-16,final_consensus,leukopenia,,11,60,19,60,12.56,0.0,13533,776,14309
#347-17,gpt,leukopenia,,22,99,57,101,4.61,0.0,4890,137,5027
#347-17,deepseek,leukopenia,,22,99,57,101,4.55,0.0,4427,223,4650
#347-17,final_consensus,leukopenia,,22,99,57,101,9.16,0.0,9317,360,9677
#347-18,gpt,leukopenia,,,,,,5.36,0.0,3388,234,3622
#347-18,deepseek,,,,,,,10.49,0.0,3123,495,3618
#347-18,final_consensus,leukopenia,,,,,,15.850000000000001,0.0,6511,729,7240
#347-19,gpt,,,,,,,7.38,0.0,4021,364,4385
#347-19,deepseek,leukopenia,,,,,,7.08,0.0,3607,425,4032
#347-19,final_consensus,,,,,,,14.46,0.0,7628,789,8417
#347-20,gpt,,,,,,,7.33,0.0,2254,387,2641
#347-20,deepseek,,,,,,,6.55,0.0,2086,284,2370
#347-20,final_consensus,,,,,,,13.879999999999999,0.0,4340,671,5011
#347-21,gpt,leukopenia,,15,43,26,43,10.74,0.0,3355,552,3907
#347-21,deepseek,leukopenia,,15,43,26,43,13.94,0.0,2980,865,3845
#347-21,final_consensus,leukopenia,,15,43,26,43,24.68,0.0,6335,1417,7752
#347-22,gpt,leukopenia,,,,,,7.07,0.0,3925,264,4189
#347-22,deepseek,,,,,,,6.45,0.0,3633,372,4005
#347-22,final_consensus,leukopenia,,,,,,13.52,0.0,7558,636,8194
#347-23,gpt,leukopenia,,,,,,2.46,0.0,2664,81,2745
#347-23,deepseek,,,,,,,5.9,0.0,2447,369,2816
#347-23,final_consensus,leukopenia,,,,,,8.36,0.0,5111,450,5561
#347-24,gpt,leukopenia,,,,,,6.26,0.0,4025,186,4211
#347-24,deepseek,,,,,,,6.56,0.0,3646,378,4024
#347-24,final_consensus,leukopenia,,,,,,12.82,0.0,7671,564,8235
#347-25,gpt,leukopenia,,,,,,3.81,0.0,1697,100,1797
#347-25,deepseek,leukopenia,,,,,,5.56,0.0,1513,307,1820
#347-25,final_consensus,leukopenia,,,,,,9.37,0.0,3210,407,3617
#347-26,gpt,leukopenia,,,,,,4.78,0.0,3469,110,3579
#347-26,deepseek,,,,,,,4.7,0.0,3207,239,3446
#347-26,final_consensus,leukopenia,,,,,,9.48,0.0,6676,349,7025
#347-27,gpt,,,,,,,6.7,0.0,4561,349,4910
#347-27,deepseek,leukopenia,,,34,,34,10.49,0.0,4233,771,5004
#347-27,final_human_override,,,,,,,17.19,58.97,8794,1120,9914
#347-28,gpt,leukopenia,,,35,,35,8.41,0.0,4370,394,4764
#347-28,deepseek,leukopenia,,,35,,35,7.19,0.0,3813,461,4274
#347-28,final_consensus,leukopenia,,,35,,35,15.600000000000001,0.0,8183,855,9038
#347-29,gpt,leukopenia,,,,,,9.86,0.0,2153,523,2676
#347-29,deepseek,leukopenia,,,,,,9.19,0.0,1944,579,2523
#347-29,final_consensus,leukopenia,,,,,,19.049999999999997,0.0,4097,1102,5199
#347-30,gpt,leukopenia (grade >=1),,7,43,10,43,4.02,0.0,3940,150,4090
#347-30,deepseek,leukopenia,,7,43,10,43,6.3,0.0,3507,424,3931
#347-30,final_consensus,leukopenia (grade >=1),,7,43,10,43,10.32,0.0,7447,574,8021
#347-31,gpt,leukopenia,,12,49,13,49,3.2,0.0,2810,113,2923
#347-31,deepseek,leukopenia,,12,49,13,49,4.34,0.0,2491,213,2704
#347-31,final_consensus,leukopenia,,12,49,13,49,7.54,0.0,5301,326,5627
