id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#4-10,gpt,,,,,,,3.32,0.0,2229,97,2326
#4-10,deepseek,,,,,,,11.02,0.0,1967,860,2827
#4-10,final_consensus,,,,,,,14.34,0.0,4196,957,5153
#4-11,gpt,,,,,,,3.38,0.0,2307,85,2392
#4-11,deepseek,,,,,,,2.59,0.0,1989,91,2080
#4-11,final_consensus,,,,,,,5.97,0.0,4296,176,4472
#4-12,gpt,,,,,,,2.41,0.0,4443,116,4559
#4-12,deepseek,,,,,,,6.13,0.0,4001,487,4488
#4-12,final_consensus,,,,,,,8.54,0.0,8444,603,9047
#4-13,gpt,,,,,,,12.98,0.0,3137,1049,4186
#4-13,deepseek,心脏功能损伤,,9,30,12,30,8.95,0.0,2777,563,3340
#4-13,final_human_override,心功能异常,,6,30,1,30,21.93,79.99,5914,1612,7526
#4-14,gpt,,,,,,,3.38,0.0,3610,108,3718
#4-14,deepseek,,,,,,,5.83,0.0,3242,192,3434
#4-14,final_consensus,,,,,,,9.21,0.0,6852,300,7152
#4-4,gpt,,,,,,,3.24,0.0,1782,108,1890
#4-4,deepseek,,,,,,,7.82,0.0,1554,645,2199
#4-4,final_consensus,,,,,,,11.06,0.0,3336,753,4089
#4-5,gpt,,,,,,,8.87,0.0,5399,555,5954
#4-5,deepseek,,,,,,,20.59,0.0,4977,1604,6581
#4-5,final_consensus,,,,,,,29.46,0.0,10376,2159,12535
#4-6,gpt,,,,,,,3.14,0.0,3971,105,4076
#4-6,deepseek,,,,,,,4.88,0.0,3593,271,3864
#4-6,final_consensus,,,,,,,8.02,0.0,7564,376,7940
#4-7,gpt,,,,,,,2.81,0.0,5062,100,5162
#4-7,deepseek,,,,,,,7.17,0.0,4393,592,4985
#4-7,final_consensus,,,,,,,9.98,0.0,9455,692,10147
#4-8,gpt,,,,,,,2.97,0.0,4198,94,4292
#4-8,deepseek,,,,,,,2.23,0.0,3814,92,3906
#4-8,final_consensus,,,,,,,5.2,0.0,8012,186,8198
#4-9,gpt,,,,,,,2.6,0.0,3290,111,3401
#4-9,deepseek,,,,,,,7.99,0.0,2892,676,3568
#4-9,final_consensus,,,,,,,10.59,0.0,6182,787,6969
