id,model,outcome,cot,intervention_event,intervention_n,control_event,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#4-10,gpt,hemoglobinemia,,,,,,4.94,0.0,1540,175,1715
#4-10,deepseek,,,,,,,6.65,0.0,1389,369,1758
#4-10,final_consensus,hemoglobinemia,,,,,,11.59,0.0,2929,544,3473
#4-11,gpt,hemoglobinemia,,,,,,4.89,0.0,1618,161,1779
#4-11,deepseek,,,,,,,4.19,0.0,1411,225,1636
#4-11,final_consensus,hemoglobinemia,,,,,,9.08,0.0,3029,386,3415
#4-12,gpt,,,,,,,5.82,0.0,3754,269,4023
#4-12,deepseek,hemoglobinemia,,,,,,9.47,0.0,3423,521,3944
#4-12,final_consensus,,,,,,,15.290000000000001,0.0,7177,790,7967
#4-13,gpt,,,,,,,5.23,0.0,2448,208,2656
#4-13,deepseek,hemoglobinemia,,,,,,10.22,0.0,2199,628,2827
#4-13,final_consensus,,,,,,,15.450000000000001,0.0,4647,836,5483
#4-14,gpt,hemoglobinemia,,,,,,5.87,0.0,2921,236,3157
#4-14,deepseek,,,,,,,9.19,0.0,2664,479,3143
#4-14,final_consensus,hemoglobinemia,,,,,,15.059999999999999,0.0,5585,715,6300
#4-4,gpt,hemoglobinemia,,,,,,5.7,0.0,1093,160,1253
#4-4,deepseek,,,,,,,7.89,0.0,976,257,1233
#4-4,final_consensus,hemoglobinemia,,,,,,13.59,0.0,2069,417,2486
#4-5,gpt,hemoglobinemia,,,,,,5.25,0.0,4710,194,4904
#4-5,deepseek,hemoglobinemia,,,50,,50,12.64,0.0,4399,817,5216
#4-5,final_human_override,hemoglobinemia,,,,,,17.89,43.52,9109,1011,10120
#4-6,gpt,,,,,,,5.94,0.0,3282,252,3534
#4-6,deepseek,,,,,,,7.79,0.0,3015,458,3473
#4-6,final_consensus,,,,,,,13.73,0.0,6297,710,7007
#4-7,gpt,hemoglobinemia,,,,,,5.35,0.0,4373,206,4579
#4-7,deepseek,,,,,,,6.77,0.0,3815,290,4105
#4-7,final_consensus,hemoglobinemia,,,,,,12.12,0.0,8188,496,8684
#4-8,gpt,hemoglobinemia,,,,,,4.84,0.0,3509,175,3684
#4-8,deepseek,,,,,,,5.02,0.0,3236,202,3438
#4-8,final_consensus,hemoglobinemia,,,,,,9.86,0.0,6745,377,7122
#4-9,gpt,hemoglobinemia,,,,,,6.27,0.0,2601,242,2843
#4-9,deepseek,,,,,,,7.75,0.0,2314,418,2732
#4-9,final_consensus,hemoglobinemia,,,,,,14.02,0.0,4915,660,5575
